addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
120.221.179.107:8000,10.55.246.46:57362,412198,231 MB,257167,156 MB,669365,388 MB,0.000000000,2007.2381
10.55.246.46:32871,117.185.255.124:8000,988,98 kB,1997,193 kB,2985,291 kB,0.118556000,2018.1655
10.55.246.46:40039,101.35.76.132:443,312,48 kB,312,44 kB,624,92 kB,1.065167000,1752.6960
10.55.246.46:33018,101.35.76.132:443,80,15 kB,73,10 kB,153,26 kB,1753.530183000,314.4886
10.55.246.46:60264,111.62.154.20:8004,50,39 kB,50,39 kB,100,79 kB,1997.534641000,5.1942
10.55.246.46:59753,183.214.54.48:443,50,39 kB,50,39 kB,100,79 kB,2004.348178000,6.2347
10.55.246.46:34949,111.31.19.228:443,50,39 kB,50,39 kB,100,79 kB,2011.630390000,5.2620
10.55.246.46:58761,175.178.32.90:443,28,11 kB,27,17 kB,55,28 kB,1998.958671000,1.4561
10.55.246.46:35861,175.178.32.90:443,20,8448 bytes,18,12 kB,38,20 kB,1997.033994000,0.6366
10.55.246.46:39652,36.155.244.171:443,16,5488 bytes,22,24 kB,38,29 kB,1997.172052000,0.2701
