addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:38199,111.31.245.16:20514,9662,1642 kB,13724,1589 kB,23386,3232 kB,59.974453000,579.9614
10.161.151.11:52356,36.151.54.61:8080,522,55 kB,467,63 kB,989,119 kB,60.495653000,587.1950
10.161.151.11:38613,183.194.190.204:5010,122,8060 bytes,122,33 kB,244,41 kB,60.193354000,588.4780
10.161.151.11:60892,221.181.81.139:17005,70,4480 bytes,70,25 kB,140,29 kB,31.061885000,629.1489
10.161.151.11:38799,36.155.163.65:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,31.581805000,617.9862
10.161.151.11:35185,120.232.24.98:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,31.581842000,617.9920
10.161.151.11:36587,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,31.581857000,617.9945
10.161.151.11:52902,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,31.581869000,617.9963
10.161.151.11:36836,43.137.59.97:23000,12,5437 bytes,10,2753 bytes,22,8190 bytes,87.681935000,180.1265
10.161.151.11:51375,43.137.59.97:23000,10,4873 bytes,10,2385 bytes,20,7258 bytes,18.729982000,68.7819
