addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:d05:276:69:31ff:fe07:381f:37206,2409:894d:cdb:6e30:1871:99ac:be07:707c:41761,103094,50 MB,396629,335 MB,499723,386 MB,0.000000000,1983.3590
2409:894d:d05:276:69:31ff:fe07:381f:45151,2409:8c54:1841:204e::12:8080,63612,10 MB,139246,29 MB,202858,40 MB,0.002287000,1983.3037
10.78.12.4:60836,111.48.10.188:53,3,275 bytes,3,275 bytes,6,550 bytes,367.972946000,1353.6136
10.78.12.4:64031,111.48.10.188:53,2,341 bytes,2,194 bytes,4,535 bytes,22.768008000,447.0339
10.78.12.4:12458,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,25.907914000,153.8527
10.78.12.4:15308,111.48.10.188:53,2,182 bytes,2,182 bytes,4,364 bytes,72.689496000,1877.7486
10.78.12.4:41010,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,110.082500000,102.1747
10.78.12.4:12187,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,120.476681000,612.2201
10.78.12.4:34958,111.48.10.188:53,2,182 bytes,2,182 bytes,4,364 bytes,139.197372000,814.5935
10.78.12.4:4285,111.48.10.188:53,2,184 bytes,2,184 bytes,4,368 bytes,206.781425000,131.0292
