timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-11-21 16:05:37.937,447,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,7,13,20","11,8,37,60,18","23,24,25,25,25","0,0,4,7,4","1,0,165,799,59","-99,-99,67,175,95","0.00,0.00,0.02,0.06,0.00","0.00,0.00,0.00,0.01,0.02","1.5,5.0,4.4,7.5,7.5","21.0,21.0,21.0,21.0,21.0","9.0,8.7,8.6,8.8,9.0","-1,-1,1815,2799,6376","1.0,1.0,1.0,1.0,1.0","0.5,0.8,1.0,0.9,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","679,260,75391,621971,36382","0.5,0.5,0.5,1.0,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.68,20.38,21.41,20.33,18.20","-111.00,-111.00,-111.00,-111.00,-111.00","88,89,88,88,94","1,5,4,7,7","100,100,100,100,100","{-71,-73,-90,-80},{-71,-72,-81,-72},{-76,-75,-88,-80}","{20.24,22.63,-inf,-inf},{19.38,22.82,-inf,-inf},{18.10,18.15,-inf,-inf}",,0,{191},4
2025-11-21 16:05:38.966,454,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,12,10,12","7,8,38,19,38","24,25,25,25,25","0,0,6,5,6","0,0,397,41,190","5,-99,169,57,108","0.00,0.00,0.04,0.00,0.02","0.00,0.00,0.02,0.02,0.07","3.8,7.5,7.5,8.7,7.6","21.0,21.0,21.0,21.0,21.0","9.0,9.1,8.4,8.9,9.1","-1,-1,2781,2792,4911","1.0,1.0,1.0,1.0,1.0","0.7,0.7,1.3,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","276,216,344132,57447,95760","0.5,0.5,1.1,0.9,0.6","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.67,19.64,21.90,17.74,16.70","-111.00,-111.00,-111.00,-111.00,-111.00","89,94,88,93,97","3,7,7,8,7","100,100,100,100,100","{-70,-72,-84,-84},{-71,-73,-87,-82},{-90,-83,-82,-84}","{20.69,22.13,-inf,-inf},{19.58,21.43,18.09,9.33},{4.97,11.70,19.83,9.43}",,0,{191},4
2025-11-21 16:05:40.004,462,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,7,13,20,8","8,37,60,18,22","24,25,25,25,25","0,4,7,4,6","0,165,799,59,93","-99,67,175,95,57","0.00,0.02,0.06,0.00,0.01","0.00,0.00,0.01,0.02,0.06","5.0,4.4,7.5,7.5,4.9","21.0,21.0,21.0,21.0,21.0","8.7,8.6,8.8,9.0,9.2","-1,1815,2799,6376,1675","1.0,1.0,1.0,1.0,1.0","0.8,1.0,0.9,0.9,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","260,75391,621971,36382,124089","0.5,0.5,1.0,0.5,0.6","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.38,21.41,20.33,18.20,14.14","-111.00,-111.00,-111.00,-111.00,-111.00","89,88,88,94,101","5,4,7,7,4","100,100,100,100,100","{-72,-72,-94,-79},{-75,-75,-85,-77},{-81,-85,-90,-78}","{19.52,20.88,-inf,-inf},{17.55,19.44,17.78,15.34},{11.35,10.42,-inf,-inf}",,0,{191},4
2025-11-21 16:05:41.035,468,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,12,10,12,10","8,38,19,38,18","25,25,25,25,25","0,6,5,6,6","0,397,41,190,163","-99,169,57,108,112","0.00,0.04,0.00,0.02,0.00","0.00,0.02,0.02,0.07,0.03","7.5,7.5,8.7,7.6,7.5","21.0,21.0,21.0,21.0,21.0","9.1,8.4,8.9,9.1,9.2","-1,2781,2792,4911,2290","1.0,1.0,1.0,1.0,1.0","0.7,1.3,0.9,1.0,1.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","216,344132,57447,95760,42905","0.5,1.1,0.9,0.6,0.8","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.64,21.90,17.74,16.70,15.77","-111.00,-111.00,-111.00,-111.00,-111.00","94,88,93,97,97","7,7,8,7,7","100,100,100,100,100","{-77,-73,-81,-78},{-78,-76,-85,-79},{-78,-80,-87,-81}","{18.12,19.48,-inf,-inf},{17.15,17.44,-inf,-inf},{16.21,11.07,10.49,19.04}",,0,{191},4
2025-11-21 16:05:42.058,475,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","7,13,20,8,16","37,60,18,22,15","25,25,25,25,25","4,7,4,6,3","165,799,59,93,74","67,175,95,57,155","0.02,0.06,0.00,0.01,0.03","0.00,0.01,0.02,0.06,0.00","4.4,7.5,7.5,4.9,9.7","21.0,21.0,21.0,21.0,21.0","8.6,8.8,9.0,9.2,8.3","1815,2799,6376,1675,3684","1.0,1.0,1.0,1.0,1.0","1.0,0.9,0.9,0.9,2.1","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","75391,621971,36382,124089,160369","0.5,1.0,0.5,0.6,1.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.41,20.33,18.20,14.14,19.21","-111.00,-111.00,-111.00,-111.00,-111.00","88,88,94,101,96","4,7,7,4,9","100,100,100,100,100","{-71,-71,-83,-71},{-76,-75,-88,-80},{-80,-78,-87,-82}","{18.42,20.78,-inf,-inf},{18.10,18.15,-inf,-inf},{12.31,20.72,10.21,11.31}",,0,{191},4
2025-11-21 16:05:43.099,483,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","12,10,12,10,6","38,19,38,18,15","25,25,25,25,25","6,5,6,6,2","397,41,190,163,12","169,57,108,112,32","0.04,0.00,0.02,0.00,0.00","0.02,0.02,0.07,0.03,0.04","7.5,8.7,7.6,7.5,7.8","21.0,21.0,21.0,21.0,21.0","8.4,8.9,9.1,9.2,7.5","2781,2792,4911,2290,3148","1.0,1.0,1.0,1.0,1.0","1.3,0.9,1.0,1.3,1.6","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","344132,57447,95760,42905,9744","1.1,0.9,0.6,0.8,0.8","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.90,17.74,16.70,15.77,19.98","-111.00,-111.00,-111.00,-111.00,-111.00","88,93,97,97,97","7,8,7,7,7","100,100,100,100,100","{-71,-72,-81,-72},{-90,-83,-82,-84},{-84,-78,-88,-83}","{19.38,22.82,-inf,-inf},{4.97,11.70,19.83,9.43},{10.14,20.18,11.53,7.49}",,0,{191},4
2025-11-21 16:05:44.167,492,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","13,20,8,16,8","60,18,22,15,11","25,25,25,25,25","7,4,6,3,1","799,59,93,74,6","175,95,57,155,38","0.06,0.00,0.01,0.03,0.05","0.01,0.02,0.06,0.00,0.05","7.5,7.5,4.9,9.7,7.0","21.0,21.0,21.0,21.0,21.0","8.8,9.0,9.2,8.3,9.5","2799,6376,1675,3684,2478","1.0,1.0,1.0,1.0,1.0","0.9,0.9,0.9,2.1,1.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","621971,36382,124089,160369,2634","1.0,0.5,0.6,1.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.33,18.20,14.14,19.21,18.07","-111.00,-111.00,-111.00,-111.00,-111.00","88,94,101,96,99","7,7,4,9,7","100,100,100,100,100","{-71,-73,-87,-82},{-81,-85,-90,-78},{-81,-75,-90,-85}","{19.58,21.43,18.09,9.33},{11.35,10.42,-inf,-inf},{10.93,18.02,17.00,9.93}",,0,{191},4
2025-11-21 16:05:45.219,499,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","10,12,10,6,9","19,38,18,15,12","25,25,25,25,24","5,6,6,2,1","41,190,163,12,15","57,108,112,32,59","0.00,0.02,0.00,0.00,0.12","0.02,0.07,0.03,0.04,0.02","8.7,7.6,7.5,7.8,6.7","21.0,21.0,21.0,21.0,22.0","8.9,9.1,9.2,7.5,8.8","2792,4911,2290,3148,3526","1.0,1.0,1.0,1.0,1.0","0.9,1.0,1.3,1.6,1.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","57447,95760,42905,9744,11245","0.9,0.6,0.8,0.8,0.9","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.74,16.70,15.77,19.98,17.56","-111.00,-111.00,-111.00,-111.00,-111.00","93,97,97,97,98","8,7,7,7,6","100,100,100,100,100","{-75,-75,-85,-77},{-78,-80,-87,-81},{-77,-89,-76,-82}","{17.55,19.44,17.78,15.34},{16.21,11.07,10.49,19.04},{19.25,16.85,13.00,10.52}",,0,{191},4
2025-11-21 16:05:46.269,506,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","20,8,16,8,11","18,22,15,11,13","25,25,25,25,23","4,6,3,1,1","59,93,74,6,3","95,57,155,38,38","0.00,0.01,0.03,0.05,0.11","0.02,0.06,0.00,0.05,0.00","7.5,4.9,9.7,7.0,7.6","21.0,21.0,21.0,21.0,22.0","9.0,9.2,8.3,9.5,8.0","6376,1675,3684,2478,7035","1.0,1.0,1.0,1.0,1.0","0.9,0.9,2.1,1.7,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","36382,124089,160369,2634,1565","0.5,0.6,1.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.20,14.14,19.21,18.07,19.75","-111.00,-111.00,-111.00,-111.00,-111.00","94,101,96,99,94","7,4,9,7,7","100,100,100,100,100","{-78,-76,-85,-79},{-80,-78,-87,-82},{-75,-83,-88,-86}","{17.15,17.44,-inf,-inf},{12.31,20.72,10.21,11.31},{19.46,17.60,11.66,18.11}",,0,{191},4
2025-11-21 16:05:47.332,513,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","12,10,6,9,14","38,18,15,12,13","25,25,25,24,25","6,6,2,1,3","190,163,12,15,4","108,112,32,59,51","0.02,0.00,0.00,0.12,0.00","0.07,0.03,0.04,0.02,0.00","7.6,7.5,7.8,6.7,9.5","21.0,21.0,21.0,22.0,22.0","9.1,9.2,7.5,8.8,8.3","4911,2290,3148,3526,6251","1.0,1.0,1.0,1.0,1.0","1.0,1.3,1.6,1.3,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","95760,42905,9744,11245,3777","0.6,0.8,0.8,0.9,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.70,15.77,19.98,17.56,19.34","-111.00,-111.00,-111.00,-111.00,-111.00","97,97,97,98,92","7,7,7,6,9","100,100,100,100,100","{-76,-75,-88,-80},{-84,-78,-88,-83},{-79,-90,-84,-91}","{18.10,18.15,-inf,-inf},{10.14,20.18,11.53,7.49},{19.02,16.53,-inf,-inf}",,0,{191},4
