timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-10-31 20:12:35.947,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","55,110,17,118,121","58,64,68,21,25","3,0,6,6,11","8,2,5,4,2","67,35,79,42,83","15,-99,3,-99,172","0.07,0.00,0.20,0.13,0.09","0.29,0.00,0.10,0.20,0.00","26.4,26.4,26.4,26.2,25.7","26.0,26.0,26.0,26.0,25.0","7.7,6.7,7.0,10.5,9.8","150000,-1,150000,-1,150000","1.0,1.0,1.0,1.0,1.0","0.7,0.8,0.4,0.7,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","59151,25340,69056,24504,55562","1.0,1.0,0.6,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.22,17.18,11.52,24.75,25.98","10.77,13.04,9.08,16.67,20.92","116,115,123,104,107","44,46,45,38,40","100,100,100,100,100","{-96,-96,-106,-95},{-109,-107,-106,-109},{-92,-101,-87,-99}","{10.37,10.60,-inf,-inf},{5.97,6.74,9.66,5.72},{13.25,26.95,-inf,-inf}",0,{191},4
2025-10-31 20:12:36.987,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","150,59,46,61,62","46,62,29,28,20","0,0,5,0,6","2,1,4,9,5","32,40,35,41,34","-99,12,70,-99,-99","0.00,0.00,0.08,0.00,0.00","0.00,0.00,0.00,0.28,0.20","26.4,26.4,26.1,26.4,26.2","26.0,26.0,26.0,26.0,26.0","7.3,6.1,8.6,7.6,8.5","-1,150000,157627,-1,-1","1.0,1.0,1.0,1.0,1.0","0.9,0.7,0.6,0.8,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","17475,31131,22539,22809,37445","1.0,0.9,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.87,13.74,23.08,19.29,21.24","13.28,11.56,17.49,12.60,15.74","113,123,114,113,112","47,50,40,42,40","100,100,100,100,100","{-88,-91,-100,-102},{-81,-82,-82,-93},{-97,-100,-91,-90}","{10.54,11.03,-inf,-inf},{19.42,20.58,-inf,-inf},{16.28,20.04,-inf,-inf}",0,{191},4
2025-10-31 20:12:38.028,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","110,17,118,121,83","64,68,21,25,27","0,6,6,11,7","2,5,4,2,3","35,79,42,83,37","-99,3,-99,172,24","0.00,0.20,0.13,0.09,0.10","0.00,0.10,0.20,0.00,0.00","26.4,26.4,26.2,25.7,26.3","26.0,26.0,26.0,25.0,26.0","6.7,7.0,10.5,9.8,7.2","-1,150000,-1,150000,150000","1.0,1.0,1.0,1.0,1.0","0.8,0.4,0.7,0.9,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","25340,69056,24504,55562,25309","1.0,0.6,1.0,1.0,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.18,11.52,24.75,25.98,19.65","13.04,9.08,16.67,20.92,17.43","115,123,104,107,114","46,45,38,40,43","100,100,100,100,100","{-98,-101,-101,-104},{-94,-104,-97,-100},{-104,-108,-94,-92}","{11.50,15.88,-inf,-inf},{14.06,14.18,-inf,-inf},{17.71,16.53,21.36,23.33}",0,{191},4
2025-10-31 20:12:39.064,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","59,46,61,62,106","62,29,28,20,25","0,5,0,6,12","1,4,9,5,3","40,35,41,34,33","12,70,-99,-99,-99","0.00,0.08,0.00,0.00,0.33","0.00,0.00,0.28,0.20,0.00","26.4,26.1,26.4,26.2,26.3","26.0,26.0,26.0,26.0,26.0","6.1,8.6,7.6,8.5,7.9","150000,157627,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.7,0.6,0.8,0.8,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","31131,22539,22809,37445,25904","0.9,1.0,1.0,1.0,0.5","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","13.74,23.08,19.29,21.24,14.06","11.56,17.49,12.60,15.74,15.37","123,114,113,112,121","50,40,42,40,49","100,100,100,100,100","{-102,-101,-111,-105},{-84,-93,-93,-94},{-102,-110,-110,-113}","{10.56,11.35,-inf,-inf},{11.57,14.53,-inf,-inf},{3.56,8.93,-inf,-inf}",0,{191},4
2025-10-31 20:12:40.100,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","17,118,121,83,28","68,21,25,27,37","6,6,11,7,2","5,4,2,3,5","79,42,83,37,59","3,-99,172,24,-99","0.20,0.13,0.09,0.10,0.00","0.10,0.20,0.00,0.00,0.05","26.4,26.2,25.7,26.3,26.4","26.0,26.0,25.0,26.0,26.0","7.0,10.5,9.8,7.2,7.2","150000,-1,150000,150000,-1","1.0,1.0,1.0,1.0,1.0","0.4,0.7,0.9,0.8,0.1","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","69056,24504,55562,25309,36298","0.6,1.0,1.0,0.9,0.3","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","11.52,24.75,25.98,19.65,9.22","9.08,16.67,20.92,17.43,11.77","123,104,107,114,125","45,38,40,43,48","100,100,100,100,100","{-97,-107,-102,-105},{-92,-101,-87,-99},{-94,-92,-100,-99}","{17.76,11.76,-inf,-inf},{13.25,26.95,-inf,-inf},{12.77,12.58,-inf,-inf}",0,{191},4
2025-10-31 20:12:41.140,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","46,61,62,106,101","29,28,20,25,30","5,0,6,12,8","4,9,5,3,5","35,41,34,33,113","70,-99,-99,-99,11","0.08,0.00,0.00,0.33,0.11","0.00,0.28,0.20,0.00,0.07","26.1,26.4,26.2,26.3,26.1","26.0,26.0,26.0,26.0,26.0","8.6,7.6,8.5,7.9,8.3","157627,-1,-1,-1,150000","1.0,1.0,1.0,1.0,1.0","0.6,0.8,0.8,0.2,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","22539,22809,37445,25904,76675","1.0,1.0,1.0,0.5,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","23.08,19.29,21.24,14.06,15.55","17.49,12.60,15.74,15.37,16.64","114,113,112,121,112","40,42,40,49,44","100,100,100,100,100","{-109,-107,-106,-109},{-97,-100,-91,-90},{-111,-90,-100,-94}","{5.97,6.74,9.66,5.72},{16.28,20.04,-inf,-inf},{11.89,16.07,-inf,-inf}",0,{191},4
2025-10-31 20:12:42.173,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","118,121,83,28,17","21,25,27,37,53","6,11,7,2,2","4,2,3,5,5","42,83,37,59,50","-99,172,24,-99,37","0.13,0.09,0.10,0.00,0.17","0.20,0.00,0.00,0.05,0.19","26.2,25.7,26.3,26.4,26.4","26.0,25.0,26.0,26.0,26.0","10.5,9.8,7.2,7.2,6.8","-1,150000,150000,-1,193750","1.0,1.0,1.0,1.0,1.0","0.7,0.9,0.8,0.1,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","24504,55562,25309,36298,-835726","1.0,1.0,0.9,0.3,0.5","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","24.75,25.98,19.65,9.22,2.84","16.67,20.92,17.43,11.77,12.32","104,107,114,125,120","38,40,43,48,41","100,100,100,100,100","{-81,-82,-82,-93},{-104,-108,-94,-92},{-89,-100,-96,-96}","{19.42,20.58,-inf,-inf},{17.71,16.53,21.36,23.33},{17.53,7.25,6.69,4.58}",0,{191},4
2025-10-31 20:12:43.212,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","61,62,106,101,46","28,20,25,30,19","0,6,12,8,6","9,5,3,5,2","41,34,33,113,41","-99,-99,-99,11,47","0.00,0.00,0.33,0.11,0.13","0.28,0.20,0.00,0.07,0.00","26.4,26.2,26.3,26.1,26.3","26.0,26.0,26.0,26.0,26.0","7.6,8.5,7.9,8.3,9.0","-1,-1,-1,150000,150000","1.0,1.0,1.0,1.0,1.0","0.8,0.8,0.2,0.9,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","22809,37445,25904,76675,24617","1.0,1.0,0.5,1.0,0.8","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.29,21.24,14.06,15.55,8.88","12.60,15.74,15.37,16.64,16.19","113,112,121,112,115","42,40,49,44,40","100,100,100,100,100","{-94,-104,-97,-100},{-102,-110,-110,-113},{-104,-98,-100,-97}","{14.06,14.18,-inf,-inf},{3.56,8.93,-inf,-inf},{18.06,16.77,-inf,-inf}",0,{191},4
2025-10-31 20:12:44.258,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","121,83,28,17,23","25,27,37,53,40","11,7,2,2,4","2,3,5,5,6","83,37,59,50,51","172,24,-99,37,25","0.09,0.10,0.00,0.17,0.16","0.00,0.00,0.05,0.19,0.18","25.7,26.3,26.4,26.4,26.3","25.0,26.0,26.0,26.0,26.0","9.8,7.2,7.2,6.8,6.1","150000,150000,-1,193750,172420","1.0,1.0,1.0,1.0,1.0","0.9,0.8,0.1,0.3,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","55562,25309,36298,-835726,-13580","1.0,0.9,0.3,0.5,0.7","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","25.98,19.65,9.22,2.84,2.27","20.92,17.43,11.77,12.32,10.69","107,114,125,120,117","40,43,48,41,40","100,100,100,100,100","{-84,-93,-93,-94},{-94,-92,-100,-99},{-95,-104,-106,-97}","{11.57,14.53,-inf,-inf},{12.77,12.58,-inf,-inf},{11.66,9.81,11.50,10.29}",0,{191},4
2025-10-31 20:12:45.294,3,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","62,106,101,46,29","20,25,30,19,42","6,12,8,6,3","5,3,5,2,7","34,33,113,41,74","-99,-99,11,47,14","0.00,0.33,0.11,0.13,0.08","0.20,0.00,0.07,0.00,0.34","26.2,26.3,26.1,26.3,26.3","26.0,26.0,26.0,26.0,26.0","8.5,7.9,8.3,9.0,9.1","-1,-1,150000,150000,150000","1.0,1.0,1.0,1.0,1.0","0.8,0.2,0.9,0.7,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","37445,25904,76675,24617,30726","1.0,0.5,1.0,0.8,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.24,14.06,15.55,8.88,10.44","15.74,15.37,16.64,16.19,16.49","112,121,112,115,114","40,49,44,40,40","100,100,100,100,100","{-92,-101,-87,-99},{-111,-90,-100,-94},{-104,-102,-101,-95}","{13.25,26.95,-inf,-inf},{11.89,16.07,-inf,-inf},{20.62,19.00,-inf,-inf}",0,{191},4
