curTime_of_UTC8,curWindow,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,max_send_packetInterval,min_send_packetInterval,std_send_packetInterval,cv_send_packetInterval,send_Mutation_of_numPackets,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,max_recv_packetInterval,min_recv_packetInterval,std_recv_packetInterval,cv_recv_packetInterval,recv_Mutation_of_numPackets,label
2025-10-20 17:09:02,1760951342.0,37,186.67567567567568,6907,0.0270576477050781,0.1165318489074707,3.0994415283203125e-05,0.0278006003125485,1.0274581373653937,0.2333333333333333,172,893.9593023255813,153761,0.0058355580928713,0.0746419429779052,0.0,0.0109313020258997,1.8732230665740808,0.1025641025641025,0
2025-10-20 17:09:03,1760951343.0,42,147.33333333333334,6188,0.0229918616158621,0.0779049396514892,1.9073486328125e-05,0.0227630626382296,0.9900486971670583,0.1351351351351351,182,832.5879120879121,151531,0.0053550555155827,0.0394959449768066,0.0,0.0089534840452289,1.6719684827122814,0.0581395348837209,0
2025-10-20 17:09:04,1760951344.0,30,182.2333333333333,5467,0.0332390626271565,0.0997049808502197,4.291534423828125e-05,0.0299941373695711,0.9023761501946116,-0.2857142857142857,140,948.0928571428572,132733,0.0070991924830845,0.0516960620880126,0.0,0.0114346752204131,1.6107008293772669,-0.2307692307692307,0
2025-10-20 17:09:05,1760951345.0,32,147.25,4712,0.0326675623655319,0.0890262126922607,4.410743713378906e-05,0.0306050709057128,0.9368642374738289,0.0666666666666666,154,939.2337662337662,144642,0.0067213696318787,0.0542881488800048,0.0,0.011777272147726,1.7522131340415643,0.1,0
2025-10-20 17:09:06,1760951346.0,41,172.0,7052,0.0249147298859386,0.0705139636993408,1.5020370483398438e-05,0.0245491341315496,0.985326120087886,0.28125,168,898.25,150906,0.0058864468619936,0.0414409637451171,0.0,0.0104405153213413,1.7736532013482276,0.0909090909090909,0
2025-10-20 17:09:07,1760951347.0,29,162.0,4698,0.0348302413677347,0.1019849777221679,5.507469177246094e-05,0.0316836135450198,0.9096581677544802,-0.2926829268292683,153,865.0130718954248,132347,0.0065896666907017,0.0612509250640869,0.0,0.0116449455502254,1.7671524368078988,-0.0892857142857142,0
2025-10-20 17:09:08,1760951348.0,35,174.97142857142856,6124,0.0266966342926025,0.0769379138946533,7.390975952148438e-05,0.0235271114160728,0.8812763121451626,0.2068965517241379,164,816.7256097560976,133943,0.0059963842717612,0.0424668788909912,0.0,0.0100428361767795,1.6748153089644715,0.0718954248366013,0
2025-10-20 17:09:09,1760951349.0,34,146.23529411764707,4972,0.0303025876774507,0.0836069583892822,1.0013580322265623e-05,0.027073210404475,0.8934289933470339,-0.0285714285714285,148,898.5067567567568,132979,0.0066684999981442,0.0436408519744873,0.0,0.0105993804798553,1.5894699681795204,-0.0975609756097561,0
2025-10-20 17:09:10,1760951350.0,34,176.64705882352942,6006,0.0302433476728551,0.0891969203948974,2.789497375488281e-05,0.0287354688523904,0.950141801867454,0.0,147,688.5510204081633,101217,0.0070277136199328,0.0532758235931396,0.0,0.0105727345750018,1.5044344642920875,-0.0067567567567567,0
2025-10-20 17:09:11,1760951351.0,36,145.66666666666666,5244,0.0279140604866875,0.071221113204956,4.291534423828125e-05,0.0227139619259745,0.8137104215564419,0.0588235294117647,132,587.1060606060606,77498,0.00753275011525,0.0423228740692138,0.0,0.0104169810034414,1.3828921501527347,-0.1020408163265306,0
2025-10-20 17:09:12,1760951352.0,39,181.5897435897436,7082,0.0255261262257893,0.0834448337554931,2.5987625122070312e-05,0.0255437624581662,1.0006909090796157,0.0833333333333333,145,588.9655172413793,85400,0.0068845107637602,0.0387518405914306,0.0,0.0105678404903124,1.5350169173880983,0.0984848484848484,0
2025-10-20 17:09:13,1760951353.0,31,145.09677419354838,4498,0.0308427118485973,0.0810258388519287,1.883506774902344e-05,0.0239722072723111,0.777240580853832,-0.2051282051282051,134,594.3731343283582,79646,0.0074307616077252,0.0453779697418212,0.0,0.0118394826565833,1.5933067539503225,-0.0758620689655172,0
2025-10-20 17:09:14,1760951354.0,31,178.51612903225808,5534,0.03348954262272,0.0793790817260742,2.789497375488281e-05,0.0281137686654803,0.839479027295147,0.0,134,608.6417910447761,81558,0.0074869483264524,0.0456478595733642,0.0,0.0117467005757306,1.5689570788445164,0.0,0
2025-10-20 17:09:15,1760951355.0,29,145.58620689655172,4222,0.0344991108466838,0.0779430866241455,4.100799560546875e-05,0.028797131844415,0.834720986647777,-0.064516129032258,127,606.5354330708661,77030,0.0078213534017247,0.0439560413360595,0.0,0.0112823869732782,1.4425108282142436,-0.0522388059701492,0
2025-10-20 17:09:16,1760951356.0,40,171.0,6840,0.0247689962387084,0.0711069107055664,2.7179718017578125e-05,0.0234068182116409,0.9450047142023948,0.3793103448275862,143,607.2307692307693,86834,0.0070200700026292,0.0387709140777587,0.0,0.0100353631265712,1.429524651864261,0.1259842519685039,0
2025-10-20 17:09:17,1760951357.0,27,161.85185185185185,4370,0.0363867459473786,0.0974550247192382,2.002716064453125e-05,0.029108568357962,0.799977233470063,-0.325,134,618.5895522388059,82891,0.0075103435943375,0.0629849433898925,0.0,0.0120627406977322,1.6061503107297213,-0.0629370629370629,0
2025-10-20 17:09:18,1760951358.0,33,176.1818181818182,5814,0.0308657848473751,0.0769400596618652,4.100799560546875e-05,0.0265325761838057,0.8596112593606086,0.2222222222222222,133,611.624060150376,81346,0.0074393301081836,0.0467650890350341,0.0,0.0114512032791756,1.5392788211641064,-0.0074626865671641,0
2025-10-20 17:09:19,1760951359.0,27,146.2962962962963,3950,0.0354044437408447,0.0719289779663086,9.608268737792967e-05,0.0219480265981667,0.6199229328053579,-0.1818181818181818,132,605.7272727272727,79956,0.0075434392148798,0.0382342338562011,0.0,0.0111583660053307,1.4792146774803083,-0.0075187969924812,0
2025-10-20 17:09:20,1760951360.0,35,174.0,6090,0.0304636887141636,0.11269211769104,1.9073486328125e-05,0.0262059022676953,0.8602340482658395,0.2962962962962963,132,624.3484848484849,82414,0.0077270305517948,0.0635790824890136,0.0,0.0115516558036718,1.4949670156265518,0.0,0
2025-10-20 17:09:21,1760951361.0,37,145.67567567567568,5390,0.0268061612103436,0.0808978080749511,2.312660217285156e-05,0.0261807523988027,0.9766692139678866,0.0571428571428571,141,589.1063829787234,83064,0.0070194893694938,0.0373599529266357,0.0,0.0098335840322784,1.4008973466096348,0.0681818181818181,0
2025-10-20 17:09:22,1760951362.0,41,179.17073170731706,7346,0.024119801637603,0.0848438739776611,4.8160552978515625e-05,0.0222046403834116,0.9205979683014636,0.1081081081081081,139,592.0503597122303,82295,0.0071997488145347,0.0432908535003662,0.0,0.0099794944569433,1.3860892531135,-0.0141843971631205,0
2025-10-20 17:09:23,1760951363.0,32,147.0,4704,0.0315132811665535,0.0869510173797607,4.696846008300781e-05,0.0262931420762212,0.8343511403099277,-0.2195121951219512,132,602.2954545454545,79503,0.0075830293424201,0.0436317920684814,0.0,0.0109093226363161,1.4386496667352149,-0.0503597122302158,0
2025-10-20 17:09:24,1760951364.0,45,166.8,7506,0.0218827777438693,0.0795650482177734,2.5987625122070312e-05,0.0233181347037536,1.0655929963135715,0.40625,146,589.0890410958904,86007,0.0068274246503229,0.0444049835205078,0.0,0.010070568869222,1.475017211467257,0.106060606060606,0
2025-10-20 17:09:25,1760951365.0,28,145.85714285714286,4084,0.0361211129597255,0.0774240493774414,6.508827209472656e-05,0.0249476731858521,0.6906673449865307,-0.3777777777777777,130,587.5615384615385,76383,0.0076757229291475,0.0428650379180908,0.0,0.0104675890214943,1.363726793960347,-0.1095890410958904,0
2025-10-20 17:09:26,1760951366.0,42,168.85714285714286,7092,0.0233289287203834,0.0777869224548339,1.3828277587890623e-05,0.0236642181806802,1.0143722613376536,0.5,146,570.4246575342465,83282,0.0069361794484804,0.033841848373413,0.0,0.0095416488321479,1.375634656372423,0.123076923076923,0
2025-10-20 17:09:27,1760951367.0,31,159.03225806451613,4930,0.0324829316908313,0.0919539928436279,3.0994415283203125e-05,0.0281128773457068,0.8654661350546132,-0.2619047619047619,130,594.2153846153847,77248,0.007468922321613,0.0556681156158447,0.0,0.0122203619162742,1.636161334937424,-0.1095890410958904,0
