timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-31 21:41:33.662,626,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,20,13,4,57","16,21,57,27,24","10,6,3,0,4","0,4,6,0,1","2,3,17,1,12","2,6,6,1,21","0.13,0.07,0.13,0.02,0.04","0.00,0.16,0.23,0.00,0.03","26.9,26.9,27.0,27.0,26.9","26.0,26.0,27.0,27.0,26.0","7.7,8.1,7.8,8.1,9.1","28,1328,10092,15734,5889","1.0,1.0,1.0,1.0,1.0","0.4,0.5,0.5,0.0,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","275,521,8084,651,5554","0.9,1.0,1.0,0.6,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.12,14.74,12.94,12.98,14.77","12.47,13.72,7.17,9.99,11.23","114,112,110,111,113","34,37,34,32,42","100,100,100,100,100","{-98,-96,-94,-93},{-91,-94,-93,-91},{-93,-89,-87,-91}","{10.68,11.66,-inf,-inf},{10.08,10.72,-inf,-inf},{6.19,13.98,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:34.695,633,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,44,4,28,8","21,51,21,25,15","19,6,0,1,1","10,5,1,0,0","2,23,1,5,1","27,21,1,9,1","0.45,0.18,0.00,0.02,0.00","0.37,0.16,0.06,0.00,0.00","26.5,27.0,27.0,27.0,27.0","26.0,27.0,27.0,27.0,27.0","8.3,8.2,7.7,8.2,8.6","-1,3688,13112,17716,384","1.0,1.0,1.0,1.0,1.0","0.2,0.7,0.3,0.5,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","155,14109,510,2185,155","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.33,12.43,11.80,15.02,17.10","11.02,12.11,11.00,10.26,15.97","112,111,111,112,112","33,41,32,38,36","100,100,100,100,100","{-104,-96,-97,-90},{-91,-103,-91,-90},{-94,-84,-86,-89}","{11.29,10.89,-inf,-inf},{9.46,9.48,-inf,-inf},{7.03,18.14,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:35.730,640,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","20,13,4,57,13","21,57,27,24,16","6,3,0,4,6","4,6,0,1,0","3,17,1,12,3","6,6,1,21,1","0.07,0.13,0.02,0.04,0.00","0.16,0.23,0.00,0.03,0.00","26.9,27.0,27.0,26.9,26.3","26.0,27.0,27.0,26.0,26.0","8.1,7.8,8.1,9.1,8.9","1328,10092,15734,5889,888","1.0,1.0,1.0,1.0,1.0","0.5,0.5,0.0,0.8,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","521,8084,651,5554,847","1.0,1.0,0.6,1.0,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.74,12.94,12.98,14.77,19.58","13.72,7.17,9.99,11.23,17.08","112,110,111,113,107","37,34,32,42,32","100,100,100,100,100","{-89,-98,-95,-88},{-95,-90,-91,-96},{-86,-87,-87,-86}","{12.46,12.84,-inf,-inf},{9.26,17.14,-inf,-inf},{16.71,15.29,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:36.764,647,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","44,4,28,8,13","51,21,25,15,17","6,0,1,1,9","5,1,0,0,0","23,1,5,1,3","21,1,9,1,8","0.18,0.00,0.02,0.00,0.04","0.16,0.06,0.00,0.00,0.00","27.0,27.0,27.0,27.0,26.2","27.0,27.0,27.0,27.0,26.0","8.2,7.7,8.2,8.6,9.3","3688,13112,17716,384,804","1.0,1.0,1.0,1.0,1.0","0.7,0.3,0.5,0.3,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","14109,510,2185,155,1217","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","12.43,11.80,15.02,17.10,20.45","12.11,11.00,10.26,15.97,15.60","111,111,112,112,105","41,32,38,36,30","100,100,100,100,100","{-91,-94,-84,-88},{-96,-95,-98,-92},{-90,-90,-89,-87}","{8.35,13.36,-inf,-inf},{6.79,11.88,-inf,-inf},{15.95,15.13,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:37.795,654,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","13,4,57,13,5","57,27,24,16,16","3,0,4,6,12","6,0,1,0,0","17,1,12,3,3","6,1,21,1,5","0.13,0.02,0.04,0.00,0.00","0.23,0.00,0.03,0.00,0.00","27.0,27.0,26.9,26.3,25.9","27.0,27.0,26.0,26.0,25.0","7.8,8.1,9.1,8.9,9.8","10092,15734,5889,888,570","1.0,1.0,1.0,1.0,1.0","0.5,0.0,0.8,0.2,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","8084,651,5554,847,1474","1.0,0.6,1.0,0.9,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","12.94,12.98,14.77,19.58,17.98","7.17,9.99,11.23,17.08,15.91","110,111,113,107,108","34,32,42,32,30","100,100,100,100,100","{-92,-99,-89,-83},{-93,-89,-87,-91},{-91,-89,-92,-96}","{17.11,8.83,-inf,-inf},{6.19,13.98,-inf,-inf},{15.63,15.08,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:38.823,661,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,28,8,13,4","21,25,15,17,16","0,1,1,9,11","1,0,0,0,0","1,5,1,3,2","1,9,1,8,-99","0.00,0.02,0.00,0.04,0.00","0.06,0.00,0.00,0.00,0.00","27.0,27.0,27.0,26.2,26.0","27.0,27.0,27.0,26.0,26.0","7.7,8.2,8.6,9.3,9.8","13112,17716,384,804,-1","1.0,1.0,1.0,1.0,1.0","0.3,0.5,0.3,0.5,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","510,2185,155,1217,195","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","11.80,15.02,17.10,20.45,19.37","11.00,10.26,15.97,15.60,13.28","111,112,112,105,111","32,38,36,30,32","100,100,100,100,100","{-91,-94,-93,-91},{-94,-84,-86,-89},{-88,-83,-91,-102}","{10.08,10.72,-inf,-inf},{7.03,18.14,-inf,-inf},{12.13,8.73,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:39.853,668,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,57,13,5,4","27,24,16,16,16","0,4,6,12,14","0,1,0,0,0","1,12,3,3,3","1,21,1,5,3","0.02,0.04,0.00,0.00,0.08","0.00,0.03,0.00,0.00,0.00","27.0,26.9,26.3,25.9,26.4","27.0,26.0,26.0,25.0,26.0","8.1,9.1,8.9,9.8,9.8","15734,5889,888,570,-1","1.0,1.0,1.0,1.0,1.0","0.0,0.8,0.2,0.4,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","651,5554,847,1474,819","0.6,1.0,0.9,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","12.98,14.77,19.58,17.98,17.96","9.99,11.23,17.08,15.91,14.37","111,113,107,108,108","32,42,32,30,30","100,100,100,100,100","{-91,-103,-91,-90},{-86,-87,-87,-86},{-88,-89,-93,-91}","{9.46,9.48,-inf,-inf},{16.71,15.29,-inf,-inf},{16.36,9.60,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:40.886,675,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","28,8,13,4,4","25,15,17,16,16","1,1,9,11,12","0,0,0,0,0","5,1,3,2,1","9,1,8,-99,3","0.02,0.00,0.04,0.00,0.00","0.00,0.00,0.00,0.00,0.00","27.0,27.0,26.2,26.0,26.6","27.0,27.0,26.0,26.0,26.0","8.2,8.6,9.3,9.8,9.9","17716,384,804,-1,-1","1.0,1.0,1.0,1.0,1.0","0.5,0.3,0.5,0.4,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","2185,155,1217,195,0","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.02,17.10,20.45,19.37,17.20","10.26,15.97,15.60,13.28,13.00","112,112,105,111,108","38,36,30,32,29","100,100,100,100,100","{-95,-90,-91,-96},{-90,-90,-89,-87},{-96,-90,-93,-97}","{9.26,17.14,-inf,-inf},{15.95,15.13,-inf,-inf},{8.21,10.79,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:41.911,684,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","57,13,5,4,4","24,16,16,16,16","4,6,12,14,12","1,0,0,0,0","12,3,3,3,1","21,1,5,3,-99","0.04,0.00,0.00,0.08,0.09","0.03,0.00,0.00,0.00,0.00","26.9,26.3,25.9,26.4,26.7","26.0,26.0,25.0,26.0,26.0","9.1,8.9,9.8,9.8,8.4","5889,888,570,-1,-1","1.0,1.0,1.0,1.0,1.0","0.8,0.2,0.4,0.5,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","5554,847,1474,819,310","1.0,0.9,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.77,19.58,17.98,17.96,13.93","11.23,17.08,15.91,14.37,8.04","113,107,108,108,112","42,32,30,30,33","100,100,100,100,100","{-96,-95,-98,-92},{-91,-89,-92,-96},{-99,-97,-93,-91}","{6.79,11.88,-inf,-inf},{15.63,15.08,-inf,-inf},{-3.95,4.64,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:42.958,690,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","8,13,4,4,11","15,17,16,16,16","1,9,11,12,2","0,0,0,0,1","1,3,2,1,3","1,8,-99,3,6","0.00,0.04,0.00,0.00,0.12","0.00,0.00,0.00,0.00,0.03","27.0,26.2,26.0,26.6,27.0","27.0,26.0,26.0,26.0,27.0","8.6,9.3,9.8,9.9,8.4","384,804,-1,-1,1047","1.0,1.0,1.0,1.0,1.0","0.3,0.5,0.4,0.3,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","155,1217,195,0,1031","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.10,20.45,19.37,17.20,16.50","15.97,15.60,13.28,13.00,4.87","112,105,111,108,110","36,30,32,29,35","100,100,100,100,100","{-93,-89,-87,-91},{-88,-83,-91,-102},{-92,-86,-94,-91}","{6.19,13.98,-inf,-inf},{12.13,8.73,-inf,-inf},{12.40,13.69,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
