rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd,2321,0.0021,99.79%,1.3600,77.834
2,2409:8c7a:da10:0:5e::2,367,0.0003,15.78%,0.5700,77.185
3,2409:8c02:24c:33:3e::e,337,0.0003,14.49%,1.3600,77.834
4,2409:8c02:248:101::29,254,0.0002,10.92%,0.5000,75.035
5,2408:400a:71a:ef00:e588:9c7d:7829:f705,224,0.0002,9.63%,0.1200,747.981
6,2409:8c04:1006:3007::7,223,0.0002,9.59%,0.1200,97.653
7,2409:8c04:100a:3091:0:ff:b072:929,198,0.0002,8.51%,0.1100,1012.797
8,2402:4e00:1620:1500:0:9da4:9421:99b9,90,0.0001,3.87%,0.1400,45.909
9,2409:8c02:248:101::2b,82,0.0001,3.53%,0.2800,19.888
10,2409:8c00:8421:7:2c::,63,0.0001,2.71%,0.1000,891.849
