rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:d05:276:69:31ff:fe07:381f,1930,0.0013,99.84%,0.7200,46.301
2,2409:8c54:871:1::6b,164,0.0001,8.48%,0.1600,55.701
3,2409:8c20:6:1be4:0:ff:b0bd:ed00,145,0.0001,7.50%,0.1300,414.718
4,2408:400a:71a:ef01:edda:5853:d0f9:7a26,145,0.0001,7.50%,0.1600,413.715
5,2409:8c20:6:1ecb:0:ff:b008:3b60,140,0.0001,7.24%,0.1400,447.668
6,2409:8c04:1006:3003::1d,140,0.0001,7.24%,0.2100,414.712
7,2409:8c04:1006:3004::5,130,0.0001,6.73%,0.1900,670.043
8,2408:400a:71a:ef00:e588:9c7d:7829:f705,124,0.0001,6.41%,0.1800,1520.831
9,2402:4e00:8030:1::2,84,0.0001,4.35%,0.2700,46.525
10,2409:8c54:1821:80::11,74,0.0000,3.83%,0.2100,47.884
