rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,3560,0.0038,99.36%,1.0100,39.465
2,2409:8080:2000:3::1,1944,0.0021,54.26%,0.2400,16.504
3,2409:8c02:248:101::29,236,0.0003,6.59%,0.4500,37.352
4,2409:8c7a:a01:24::92,233,0.0002,6.50%,0.8200,39.476
5,2409:8c60:2500:31:3e::a,142,0.0002,3.96%,0.2100,49.941
6,2409:8c54:871:2::70,120,0.0001,3.35%,0.2300,48.825
7,2409:8c3c:7200:0:42::,83,0.0001,2.32%,0.2300,40.072
8,2409:8c04:1001:1221:0:ff:b091:f01b,76,0.0001,2.12%,0.0800,689.807
9,2402:4e00:1620:1500:0:992c:3061:d277,75,0.0001,2.09%,0.3400,35.125
10,2409:8c1e:75b0:3019::99,69,0.0001,1.93%,0.1900,39.529
