rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:d05:276:69:31ff:fe07:381f,3239,0.0030,100.00%,1.6900,1029.319
2,2409:874c:5290:101:3::3fb,672,0.0006,20.75%,1.6900,1029.319
3,2409:8c4c:c00:1063:3a::9,289,0.0003,8.92%,1.3400,34.807
4,2409:8c54:871:2::70,276,0.0003,8.52%,0.4500,46.560
5,2409:8c20:818:111::dc,252,0.0002,7.78%,0.6200,33.480
6,2408:400a:71a:ef00:e588:9c7d:7829:f705,159,0.0001,4.91%,0.1800,1042.557
7,2409:8c20:6:1be4:0:ff:b0bd:ed00,142,0.0001,4.38%,0.1300,652.456
8,240e:96c:6000:3504:3::2a,140,0.0001,4.32%,0.5700,1020.467
9,2409:874c:d00:300:37::5,139,0.0001,4.29%,0.6400,35.040
10,2409:8c20:6:1ecb:0:ff:b008:3b60,122,0.0001,3.77%,0.1000,281.952
