rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:30c9:b8ed:55ff:fe1c:3cfb,15976,0.0092,99.96%,7.9800,45.320
2,2409:8c4d:5200:66:32::,4254,0.0024,26.62%,1.6400,52.175
3,2409:8c4d:5200:63:31::,2726,0.0016,17.06%,7.9800,45.320
4,2409:8080:2000:3::1,1716,0.0010,10.74%,0.3000,16.672
5,2409:8c4d:5200:66:36::,944,0.0005,5.91%,1.7400,51.590
6,2409:8c4d:5200:64:35::,853,0.0005,5.34%,1.6300,47.006
7,2409:8c4d:5200:68:16::,780,0.0004,4.88%,1.0000,49.213
8,2409:801a:3006:30:54::a,469,0.0003,2.93%,1.2200,44.766
9,2409:8c54:871::9c,430,0.0002,2.69%,0.2300,209.211
10,2409:8c02:24c:33:3e::f,296,0.0002,1.85%,0.7000,46.626
