rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:8c50:a00:404a::24,140585,0.0236,64.98%,4.4200,5470.227
2,2409:8949:3715:8e23:d8c4:dfff:fe9e:d18f,134597,0.0226,62.22%,4.4200,5470.227
3,2409:894d:c50:4e12:cc58:4dff:fe78:646f,81733,0.0137,37.78%,4.7700,4755.708
4,2409:894d:c98:4c27:1873:91df:af8c:b804,51678,0.0087,23.89%,2.2700,4755.708
5,2409:8c50:a00:4052::19,23849,0.0040,11.02%,2.5000,4755.735
6,2409:8c20:815:707::25,176,0.0000,0.08%,0.0400,179.845
7,2409:8c50:a00:404b::17,10,0.0000,0.00%,0.0100,4767.861
8,2409:8c50:a00:4047::22,10,0.0000,0.00%,0.0200,4788.293
9,2409:8c1e:8f60:b8::16,8,0.0000,0.00%,0.0200,4914.684
10,2409:8c1e:8f60:2::20,6,0.0000,0.00%,0.0200,4918.486
