rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,4456,0.0051,100.00%,1.7900,31.353
2,2409:8080:2000:3::1,1760,0.0020,39.50%,0.2000,76.057
3,2409:8c20:7c91:252:38::8,544,0.0006,12.21%,1.4600,31.071
4,2409:8087:4:16:b::87,465,0.0005,10.44%,0.7500,31.335
5,2409:8c60:2500:35:3e::13,254,0.0003,5.70%,0.2800,48.905
6,2409:8c02:248:101::23,239,0.0003,5.36%,0.4500,29.011
7,2409:8c4c:c00:608:28::23,166,0.0002,3.73%,0.4100,30.881
8,2409:8c04:1006:3003::1d,103,0.0001,2.31%,0.1400,837.716
9,2409:8c04:100a:3091:0:ff:b072:929,86,0.0001,1.93%,0.0800,667.849
10,2402:4e00:1620:1500:0:992c:3061:d277,77,0.0001,1.73%,0.2900,27.023
