rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:92ff:f0ee:c4ff:feb8:4dab,3944,0.0017,99.97%,1.2200,14.282
2,2402:4e00:1220:1502:0:9b20:6ad5:831c,819,0.0004,20.76%,0.5400,16.941
3,2409:8c02:248:101::3d,417,0.0002,10.57%,0.2400,14.026
4,2409:8c02:24c:31:30::15,308,0.0001,7.81%,1.1700,14.282
5,2409:8702:4860:105::74,282,0.0001,7.15%,0.3400,11.003
6,2402:4e00:8030:1::108,273,0.0001,6.92%,0.1400,187.428
7,2409:8702:4860:10::60,271,0.0001,6.87%,0.2200,13.069
8,2409:8c02:248:101::22,264,0.0001,6.69%,0.1300,482.301
9,2409:8702:4860:106::63,157,0.0001,3.98%,0.2900,9.772
10,2409:8080:2000:3::1,100,0.0000,2.53%,0.1900,323.678
