rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1800:7834:4014:f1ff:fe8d:1b01,1650,0.0009,51.05%,0.7200,15.271
2,240a:42c4:1800:7834:5ceb:b2ff:fec5:d3bc,708,0.0004,21.91%,0.2500,897.377
3,240a:42c4:1800:7834:4097:e7ff:fe02:d78e,605,0.0003,18.72%,0.3300,255.279
4,2409:8080:2000:3::1,386,0.0002,11.94%,0.0800,860.718
5,2402:4e00:1220:1502:0:9b20:6ad5:831c,314,0.0002,9.72%,0.4800,25.791
6,2409:8c1e:75b0:3019::99,256,0.0001,7.92%,0.2800,259.449
7,2409:8087:6:16::55,217,0.0001,6.71%,0.2500,549.283
8,240a:42c4:1800:7834:b89a:a9ff:fe9d:2c8c,203,0.0001,6.28%,0.2500,549.283
9,2402:4e00:8030:1::108,177,0.0001,5.48%,0.2100,15.202
10,2409:8c02:248:101::3d,166,0.0001,5.14%,0.1700,15.636
