rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:8bc0:9c7e:c1ff:fe2c:9c18,2549,0.0019,60.00%,0.8300,49.726
2,2409:8080:2000:3::1,1398,0.0010,32.91%,0.1700,46.768
3,2409:8080:2000:3::2,495,0.0004,11.65%,0.1700,34.689
4,240a:42c0:1800:8bc0:d0c5:83ff:fe76:fb55,463,0.0003,10.90%,0.2700,1324.680
5,240a:42c0:1800:8bc0:e049:86ff:fe72:ad7e,422,0.0003,9.93%,0.0800,969.216
6,240a:42c0:1800:8bc0:3487:6cff:fec0:6e82,320,0.0002,7.53%,0.2800,429.365
7,2409:8c7a:a01:24::92,316,0.0002,7.44%,0.8300,49.726
8,2409:8c02:248:101::23,251,0.0002,5.91%,0.4400,47.598
9,2409:8c44:b00:2:48::2e,183,0.0001,4.31%,0.4600,50.426
10,2409:8c54:871::9c,176,0.0001,4.14%,0.1700,62.197
