rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,2128,0.0027,100.00%,0.7900,33.902
2,2409:8c50:a00:465c:50::6,370,0.0005,17.39%,0.7500,33.932
3,2409:8c02:248:101::29,245,0.0003,11.51%,0.3800,31.588
4,2409:8c54:871::b4,197,0.0002,9.26%,0.2300,48.370
5,2409:8c00:7821:31::3d,140,0.0002,6.58%,0.4800,35.303
6,2409:8c00:6c21:103c:0:ff:b058:29bf,109,0.0001,5.12%,0.1200,39.661
7,2409:8c60:2500:32:3e::4,105,0.0001,4.93%,0.1900,48.451
8,2409:8c04:1001:1221:0:ff:b091:f01b,96,0.0001,4.51%,0.0800,17.624
9,2409:8c04:1104:7::18,87,0.0001,4.09%,0.1900,405.122
10,2402:4e00:1620:1500:0:9da4:9421:99b9,74,0.0001,3.48%,0.2800,29.463
