rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:d14:10a0:2427:96ff:fe3a:13a9,3356,0.0023,99.91%,3.0700,51.767
2,2409:8087:4c02:13:0:2:0:34,520,0.0004,15.48%,3.0700,51.767
3,2409:8c54:871::9c,395,0.0003,11.76%,0.4700,75.729
4,2409:8c38:80:1d1:3b::36,263,0.0002,7.83%,0.4400,58.394
5,2409:8c20:818:111::dc,244,0.0002,7.26%,0.5800,56.287
6,2409:8c54:871:2::70,233,0.0002,6.94%,0.4000,1299.559
7,2409:8c20:6:1be4:0:ff:b0bd:ed00,166,0.0001,4.94%,0.1600,216.758
8,2409:8c20:1e36:200:60::16,120,0.0001,3.57%,0.5200,56.978
9,2409:8c20:6:123c:0:ff:b0f6:b2d,110,0.0001,3.27%,0.8100,692.116
10,2409:8c54:871::a6,106,0.0001,3.16%,0.2700,37.827
