rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,4552,0.0049,99.96%,1.6400,18.376
2,2409:8080:2000:3::2,1912,0.0021,41.99%,0.2200,11.236
3,2409:8c1e:75b0:3019::99,477,0.0005,10.47%,0.5800,18.472
4,2409:8c54:b010:50:40::3,350,0.0004,7.69%,0.7700,34.784
5,2409:8c02:248:101::23,254,0.0003,5.58%,0.4600,33.099
6,2409:8087:6:16::52,244,0.0003,5.36%,1.1800,18.376
7,2409:8c54:871::9c,165,0.0002,3.62%,0.2000,58.435
8,2409:8c60:2500:35:3e::13,157,0.0002,3.45%,0.1800,82.407
9,2409:8c1e:a920:3008:3e::7,99,0.0001,2.17%,0.3500,35.604
10,2409:8c4d:5200:63:38::8e,94,0.0001,2.06%,0.4300,35.769
