rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42b8:a220:10da:6059:3cff:fe36:e7f0,4440,0.0021,99.98%,0.2800,202.918
2,2409:803c:2000:2::27,3578,0.0017,80.57%,0.1100,2024.088
3,2409:8c04:100a:3091:0:ff:b072:929,180,0.0001,4.05%,0.1300,202.919
4,2409:8c20:5c64:2005::9,119,0.0001,2.68%,0.1500,703.441
5,2409:8c1e:75b0:1201::7f,111,0.0001,2.50%,0.1500,2039.709
6,2409:8c1e:75b0:4007::34,57,0.0000,1.28%,0.1200,2039.381
7,2409:8c02:248:101::2a,52,0.0000,1.17%,0.1400,74.084
8,2408:400a:71a:ef01:edda:5853:d0f9:79f9,52,0.0000,1.17%,0.1300,203.158
9,2409:8c3c:900:1a5:37::6,48,0.0000,1.08%,0.1500,1673.946
10,2409:8c20:5c64:2005::8,38,0.0000,0.86%,0.1400,1400.659
