rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,7296,0.0039,99.78%,0.9900,698.329
2,2409:8080:2000:3::1,3569,0.0019,48.81%,0.3800,617.404
3,2402:4e00:1430:249:0:96e0:deee:d689,586,0.0003,8.01%,0.1500,210.604
4,2402:4e00:1430:26f:0:96d6:910a:4914,316,0.0002,4.32%,0.1300,1370.976
5,2409:801a:3006:2a:3::11,228,0.0001,3.12%,0.6200,698.295
6,2402:4e00:1220:1502:0:9b20:6ad5:831c,203,0.0001,2.78%,0.4300,27.789
7,2409:8c20:5c64:2005::8,201,0.0001,2.75%,0.2000,208.304
8,2409:8c04:1006:1200:f8b5::101,201,0.0001,2.75%,0.1500,697.811
9,2409:8c04:1001:1221:0:ff:b091:f01b,185,0.0001,2.53%,0.0900,676.715
10,2409:8c04:1104:7::18,177,0.0001,2.42%,0.3500,1769.263
