rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:9b03:8c5f:e3ff:fe87:d3db,3113,0.0018,99.90%,0.5900,36.588
2,2409:8080:2000:3::1,1069,0.0006,34.31%,0.1900,35.232
3,2409:8c38:80:1f1:3b::3,363,0.0002,11.65%,0.5300,38.473
4,2409:8c02:248:101::29,249,0.0001,7.99%,0.5500,36.610
5,2409:8080:2000:3::2,198,0.0001,6.35%,0.2200,15.106
6,2409:8c54:871:2::32,166,0.0001,5.33%,0.2300,65.969
7,2409:8c28:2808:48:3a::,93,0.0001,2.98%,0.3100,39.326
8,2409:8c60:2500:34:3e::5,87,0.0001,2.79%,0.2700,66.811
9,2402:4e00:1620:1500:0:9da4:9421:99b9,76,0.0000,2.44%,0.2100,34.742
10,2409:8c04:1006:3004::4,65,0.0000,2.09%,0.1300,813.605
