rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:4543:fceb:e7ff:fefe:7433,4656,0.0037,99.91%,0.5800,34.527
2,2409:8080:2000:3::1,1951,0.0016,41.87%,0.2100,101.289
3,2402:4e00:1430:20a:0:9966:a9bb:2ebf,465,0.0004,9.98%,0.0800,150.621
4,2409:8c54:871:2::32,345,0.0003,7.40%,0.4600,40.549
5,2409:8c14:f2d:1011:37::18,316,0.0003,6.78%,0.5700,34.527
6,2409:8c02:248:101::29,251,0.0002,5.39%,0.5300,32.653
7,2409:8080:2000:3::2,207,0.0002,4.44%,0.1900,101.291
8,2409:8c04:1006:3004::4,168,0.0001,3.61%,0.1800,17.820
9,2409:8c04:100a:3091:0:ff:b072:929,83,0.0001,1.78%,0.1200,18.333
10,2409:8c1e:68e0:a11:3c::d,74,0.0001,1.59%,0.2300,35.094
