rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:4908:281f:bfff:feb7:490,1822,0.0014,99.95%,0.5200,34.955
2,2409:8c78:100:1e:37::8,416,0.0003,22.82%,0.4600,37.455
3,2409:8c54:871::b4,299,0.0002,16.40%,0.3700,87.678
4,2409:8c02:248:101::23,240,0.0002,13.17%,0.4500,34.955
5,2409:8c60:2500:32:3e::3,134,0.0001,7.35%,0.2100,63.610
6,2409:8c44:b00:2:48::2a,109,0.0001,5.98%,0.4300,38.604
7,2409:8087:6:16::55,77,0.0001,4.22%,0.1400,1323.017
8,2402:4e00:1620:1500:0:9da4:9421:99b9,70,0.0001,3.84%,0.2300,31.805
9,2409:8c02:24c:33:3e::13,45,0.0000,2.47%,0.1500,88.875
10,2409:8c04:100a:3091:0:ff:b072:929,37,0.0000,2.03%,0.0900,258.407
