rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:5715:d4bd:eff:fe60:a424,4639,0.0045,99.89%,0.6500,60.126
2,2409:8080:2000:3::2,2162,0.0021,46.55%,0.4400,24.415
3,2402:4e00:1430:20a:0:9a7d:b977:efb6,381,0.0004,8.20%,0.0700,37.344
4,2409:8c54:871:1::65,357,0.0003,7.69%,0.3900,75.525
5,2409:8c28:2808:23:3b::1e,246,0.0002,5.30%,0.6400,60.126
6,2409:8c02:248:101::29,245,0.0002,5.28%,0.4400,58.180
7,2409:8080:2000:3::1,197,0.0002,4.24%,0.3700,24.669
8,2409:8c04:100a:3091:0:ff:b072:929,141,0.0001,3.04%,0.1000,1009.533
9,2409:8c54:b010:50:40::40,124,0.0001,2.67%,0.1700,74.948
10,2409:8c7a:da10:0:5e::2,113,0.0001,2.43%,0.3100,61.606
