rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:895b:3883:46de:a77f:683:c84:b01e,18967,0.0231,99.62%,3.6900,9.781
2,2409:8c20:6ed1:4::1:2c,12410,0.0151,65.18%,3.6900,9.781
3,2409:8087:5703:11:1000::4e,2006,0.0024,10.54%,0.9200,740.712
4,2409:8c54:3810:d:115::f2,1100,0.0013,5.78%,0.6100,2.517
5,2409:8c5e:5000:c1:37::24,826,0.0010,4.34%,2.0700,42.632
6,2409:8c4c:c00:1311:3b::2,820,0.0010,4.31%,2.0400,40.616
7,2409:8c20:818:111::ef,310,0.0004,1.63%,0.5400,38.049
8,2409:8754:34a0:24:3f::8,276,0.0003,1.45%,0.2800,50.224
9,2409:8c54:871::b4,275,0.0003,1.44%,0.2800,72.778
10,2409:8c50:a00:4024:5e::10,242,0.0003,1.27%,1.1300,72.407
