rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1000:7741:88ba:f3ff:fe92:42b0,426145,0.2114,85.59%,7.3200,1633.996
2,240a:42c4:1801:d2f6:24f1:e2ff:fe9b:8e50,251521,0.1248,50.52%,3.4500,1633.996
3,2409:8c44:b00:30::21,143744,0.0713,28.87%,2.2600,403.621
4,2409:8c44:b00:31::1c,102519,0.0509,20.59%,3.7900,1633.996
5,240a:42bc:201:1b66:40db:1ff:fe55:4e8c,71748,0.0356,14.41%,1.2900,2187.578
6,2409:8c20:815:706::21,52,0.0000,0.01%,0.0900,2214.571
7,2409:8a5e:590b:20::16,51,0.0000,0.01%,0.0900,2213.792
8,2409:8c44:b00:30::23,4,0.0000,0.00%,0.0100,199.491
9,fe80::bcef:73ff:fe96:2adb,2,0.0000,0.00%,0.0200,1829.817
10,fe80::10d8:1c47:81de:9037,2,0.0000,0.00%,0.0200,1829.817
