rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:d18:1665:38e3:91ff:fe94:9f44,6413,0.0027,99.95%,0.5500,19.929
2,2409:804c:0:2000::1,4865,0.0020,75.83%,0.1900,0.091
3,2409:8c54:871:1::6b,183,0.0001,2.85%,0.1200,29.187
4,2409:8c54:1821:80::11,179,0.0001,2.79%,0.2900,21.138
5,2409:8c54:871::29,163,0.0001,2.54%,0.3800,1.227
6,2402:4e00:8030:1::1d,103,0.0000,1.61%,0.1100,1.335
7,2409:8c1e:75b0:4007::68,102,0.0000,1.59%,0.2200,160.051
8,2409:8c38:80:100:70::2e,88,0.0000,1.37%,0.1900,1.477
9,2409:8c54:871:2::51,65,0.0000,1.01%,0.1300,0.109
10,2409:8702:4860:10::60,60,0.0000,0.94%,0.1300,0.164
