rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42b8:a220:10da:6059:3cff:fe36:e7f0,5155,0.0017,99.94%,0.3200,216.209
2,2409:803c:2000:2::27,3569,0.0012,69.19%,0.2600,225.359
3,2409:8c04:1001:1221:0:ff:b091:f01b,196,0.0001,3.80%,0.1400,216.209
4,2409:8c20:818:2007::b3,185,0.0001,3.59%,0.1600,1413.389
5,2409:8c20:5c64:2005::9,166,0.0001,3.22%,0.1000,687.942
6,2409:8c20:5c64:2005::8,150,0.0000,2.91%,0.1900,216.225
7,2409:8c04:100a:3091:0:ff:b072:929,137,0.0000,2.66%,0.1100,689.803
8,2409:8c1e:75b0:3003::b,92,0.0000,1.78%,0.1300,1155.362
9,2408:400a:71a:ef00:e588:9c7d:7829:f705,86,0.0000,1.67%,0.1400,1052.569
10,2409:8c3c:1300:3b::38,76,0.0000,1.47%,0.0800,3017.045
