rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,4078,0.0040,99.83%,0.7600,33.258
2,2409:8080:2000:3::1,2164,0.0021,52.97%,0.2500,27.921
3,2409:8c54:b010:50:40::3,469,0.0005,11.48%,0.6700,33.258
4,2409:8c02:248:101::23,246,0.0002,6.02%,0.5100,30.011
5,2409:8c60:2500:33:3e::a,156,0.0002,3.82%,0.2700,38.495
6,2409:8c54:871:1::65,147,0.0001,3.60%,0.2200,39.540
7,2409:8c3c:1300:444:37::b,129,0.0001,3.16%,0.5200,34.671
8,2402:4e00:1430:20a:0:9a7d:b977:efb6,93,0.0001,2.28%,0.1200,7.110
9,2402:4e00:1620:1500:0:992c:3061:d277,81,0.0001,1.98%,0.4100,28.017
10,2409:8c04:100a:3091:0:ff:b072:929,52,0.0001,1.27%,0.1000,726.770
