rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1000:7741:88ba:f3ff:fe92:42b0,285110,0.1483,100.00%,3.7300,173.226
2,2409:8c50:a00:4043::27,280712,0.1460,98.46%,3.7200,173.226
3,2409:8c50:a00:4041::28,3996,0.0021,1.40%,1.4100,274.839
4,240a:42c4:1801:d2f6:24f1:e2ff:fe9b:8e50,194,0.0001,0.07%,0.3900,48.829
5,2409:8c70:3ad4:10::ab,55,0.0000,0.02%,0.0900,1921.905
6,2409:8c34:4400:1228::18,49,0.0000,0.02%,0.0800,1921.434
7,2409:8c1e:8f60:b8::16,25,0.0000,0.01%,0.0200,299.773
8,2409:8c1e:8f60:2::20,24,0.0000,0.01%,0.0200,205.544
9,2409:8c1e:75b0:1120::86,24,0.0000,0.01%,0.0200,5.294
10,2409:8c1e:8f60:1::d,17,0.0000,0.01%,0.0200,210.206
