rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:ce0:47c8:acf0:a1ff:fe36:dcb,4880,0.0044,99.55%,2.3100,57.236
2,2409:804c:0:2000::1,2374,0.0021,48.43%,0.3700,51.481
3,2409:8c4c:c00:1063:3a::9,438,0.0004,8.94%,1.6500,57.236
4,2409:8c4c:e00:204:3::f,356,0.0003,7.26%,1.4500,38.281
5,2409:8c54:871:1::65,325,0.0003,6.63%,0.4000,81.454
6,2409:8c4d:5200:15:8000:0:d00:a1f,324,0.0003,6.61%,0.9600,56.553
7,2409:8c20:818:111::ef,264,0.0002,5.39%,0.5100,55.013
8,2409:8c4c:c00:1082:37::6,94,0.0001,1.92%,0.3600,57.556
9,2402:4e00:1620:1500:0:992c:3061:d277,68,0.0001,1.39%,0.2700,50.981
10,2409:8c20:818:2007::b3,67,0.0001,1.37%,0.1800,770.433
