rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,3563,0.0053,99.97%,0.9400,32.990
2,2409:8080:2000:3::1,1394,0.0021,39.11%,0.1800,29.460
3,2409:8c54:b010:50:40::3,507,0.0008,14.23%,0.7700,33.035
4,2409:8c60:2500:32:3e::4,282,0.0004,7.91%,0.3400,104.755
5,2409:8c02:248:101::23,249,0.0004,6.99%,0.4800,30.794
6,2409:8087:200:12:1::103,171,0.0003,4.80%,0.4400,32.848
7,2409:8c3c:1300:444:37::b,126,0.0002,3.54%,0.4400,35.011
8,2409:8c04:100a:3091:0:ff:b072:929,111,0.0002,3.11%,0.1000,463.125
9,2409:8c54:871:1::65,101,0.0001,2.83%,0.1900,86.975
10,2402:4e00:1620:1500:0:992c:3061:d277,77,0.0001,2.16%,0.3500,28.837
