rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:9e3c:d04c:22ff:fe02:3f5a,4427,0.0031,99.95%,0.7100,38.968
2,2409:8080:2000:3::1,2296,0.0016,51.84%,0.3300,34.923
3,2409:8c50:a00:202a:28::11,288,0.0002,6.50%,0.4900,39.041
4,2409:8c02:248:101::23,239,0.0002,5.40%,0.4500,36.485
5,2409:8c60:2500:33:3e::8,144,0.0001,3.25%,0.2700,168.560
6,2409:8c54:871:2::32,129,0.0001,2.91%,0.3300,169.327
7,2409:8080:2000:3::2,122,0.0001,2.75%,0.0600,13.559
8,2409:8087:6:16::50,104,0.0001,2.35%,0.2000,1398.198
9,2409:8c04:100a:3091:0:ff:b072:929,97,0.0001,2.19%,0.1000,1167.684
10,2409:8c44:b00:2:48::2a,90,0.0001,2.03%,0.4000,38.913
