rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1802:3d0b:b404:17ff:fee7:3ded,5430,0.0048,99.94%,1.4300,95.927
2,2409:8080:2000:3::1,1654,0.0015,30.44%,0.0800,31.161
3,2409:8c54:871::b4,943,0.0008,17.36%,1.0200,95.935
4,2409:8080:2000:3::2,676,0.0006,12.44%,0.3100,31.328
5,2409:8c60:2500:33:3e::9,520,0.0005,9.57%,0.5800,95.454
6,2409:8c50:a00:4655:50::1c,446,0.0004,8.21%,1.3100,34.220
7,2409:8c02:248:101::23,249,0.0002,4.58%,0.5000,32.491
8,2409:8c04:100a:3091:0:ff:b072:929,170,0.0002,3.13%,0.1400,555.056
9,2409:8c04:1006:3004::4,136,0.0001,2.50%,0.1400,1052.043
10,2409:8c02:11c:68::16c,97,0.0001,1.79%,0.4600,34.674
