rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd,3141,0.0013,99.97%,0.7500,11.466
2,2402:4e00:1220:1502:0:9b20:6ad5:831c,463,0.0002,14.74%,0.4100,11.811
3,2409:8c04:100a:3091:0:ff:b072:929,462,0.0002,14.70%,0.1400,950.277
4,2408:400a:71a:ef01:edda:5853:d0f9:7a26,393,0.0002,12.51%,0.1500,811.035
5,2409:8c1e:75b0:3019::99,253,0.0001,8.05%,0.1900,960.042
6,2409:8c20:5c64:2005::9,213,0.0001,6.78%,0.1800,811.872
7,2409:8c04:1006:3004::4,171,0.0001,5.44%,0.1600,2431.714
8,2409:8c02:248:101::2a,166,0.0001,5.28%,0.1300,310.624
9,2409:8087:6:16::50,135,0.0001,4.30%,0.2000,812.952
10,2409:8c02:248:101::3c,106,0.0000,3.37%,0.1800,13.493
