rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1801:3adf:c020:9dff:fe95:802,3372,0.0021,99.97%,0.7800,61.770
2,2409:8c3c:1300:444:37::b,381,0.0002,11.30%,0.7800,61.770
3,2409:8c6c:561:972d:34::1,367,0.0002,10.88%,0.7500,59.474
4,2409:8c02:248:101::23,311,0.0002,9.22%,0.4800,57.329
5,2409:8c54:871:2::32,231,0.0001,6.85%,0.3100,91.670
6,2409:8c02:248:101::3d,204,0.0001,6.05%,0.2600,38.794
7,2409:8702:4860:106::61,168,0.0001,4.98%,0.2400,37.163
8,2409:8702:4860:106::76,135,0.0001,4.00%,0.1900,39.588
9,2409:8087:6:16::50,122,0.0001,3.62%,0.4100,30.115
10,2409:8c04:1006:3007::7,106,0.0001,3.14%,0.1300,118.471
