rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,4747,0.0054,99.98%,1.1100,29.152
2,2409:8080:2000:3::1,1304,0.0015,27.46%,0.2900,149.783
3,2409:8080:2000:3::2,577,0.0007,12.15%,0.2900,25.679
4,2409:8c20:7c91:252:38::8,485,0.0005,10.21%,1.1100,29.152
5,2409:8c04:1001:1221:0:ff:b091:f01b,453,0.0005,9.54%,0.1200,156.150
6,2402:4e00:1430:20a:0:9a7d:b977:efb6,305,0.0003,6.42%,0.1400,149.841
7,2409:8c02:248:101::23,241,0.0003,5.08%,0.4700,27.103
8,2409:8c54:871:1::65,212,0.0002,4.47%,0.2500,80.763
9,2409:8c3c:1300:444:37::b,154,0.0002,3.24%,0.6200,30.346
10,2409:8c04:1006:3003::1d,131,0.0001,2.76%,0.1300,155.596
