rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1402:21f:7479:8dff:fedf:e732,5926,0.0031,99.95%,0.5400,30.974
2,2409:8080:2000:3::2,1949,0.0010,32.87%,0.0700,904.118
3,2409:8080:2000:3::1,1698,0.0009,28.64%,0.1000,23.540
4,2402:4e00:1220:1502:0:9b20:6ad5:831c,430,0.0002,7.25%,0.3700,34.104
5,2409:8c02:248:101::2a,201,0.0001,3.39%,0.1900,23.859
6,2409:8c02:248:101::3c,198,0.0001,3.34%,0.1900,31.262
7,2409:8c04:1006:3007::8,178,0.0001,3.00%,0.1000,307.767
8,2409:8c04:100a:3091:0:ff:b072:929,155,0.0001,2.61%,0.1300,1398.956
9,2409:8c44:b00:fe10:5e::e,144,0.0001,2.43%,0.2700,30.004
10,2409:8702:4860:105::74,115,0.0001,1.94%,0.3200,25.659
