rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1800:6c99:3836:c7ff:fe0e:4c72,3900,0.0045,100.00%,0.7300,53.913
2,2409:8080:2000:3::1,1899,0.0022,48.69%,0.3600,36.785
3,2409:8c50:a00:4657:50::5,456,0.0005,11.69%,0.7300,53.913
4,2409:8c54:871::b4,391,0.0005,10.03%,0.2300,62.521
5,2409:8c02:248:101::23,271,0.0003,6.95%,0.4100,51.253
6,2409:8c14:f28:1010:5e::46,137,0.0002,3.51%,0.5700,55.890
7,2409:8080:2000:3::2,114,0.0001,2.92%,0.1200,50.284
8,2409:8c04:1006:3007::8,84,0.0001,2.15%,0.1700,186.985
9,2402:4e00:1620:1500:0:992c:3061:d277,72,0.0001,1.85%,0.3300,36.360
10,2409:8c60:2500:33:3e::9,70,0.0001,1.79%,0.1900,128.675
