rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c0:1800:c45c:d069:aff:fe11:7c9e,1777,0.0011,100.00%,0.8200,14.047
2,2402:4e00:1220:1502:0:9b20:6ad5:831c,299,0.0002,16.83%,0.3600,14.729
3,2409:8c04:1006:3004::5,205,0.0001,11.54%,0.3100,0.289
4,2409:8c02:248:101::2a,189,0.0001,10.64%,0.1200,23.056
5,2409:8c02:248:101::3d,130,0.0001,7.32%,0.2000,15.155
6,2409:8087:6:16::50,98,0.0001,5.51%,0.1600,554.099
7,2409:8c04:100a:3091:0:ff:b072:929,90,0.0001,5.06%,0.1300,550.535
8,2409:8702:4860:10::60,88,0.0001,4.95%,0.2300,14.029
9,2402:4e00:8030:1::106,85,0.0001,4.78%,0.1700,1662.115
10,2409:8702:4860:106::6b,84,0.0001,4.73%,0.4000,13.849
