rank,ip,count,rate,percent,burst_rate,burst_start
1,2409:894d:d18:1665:38e3:91ff:fe94:9f44,5862,0.0043,99.69%,1.3800,29.306
2,2409:804c:0:2000::1,2777,0.0020,47.23%,0.3400,45.582
3,2409:8087:4c02:13:0:5:0:49,610,0.0004,10.37%,1.2800,29.113
4,2409:801a:3006:30:54::a,548,0.0004,9.32%,1.1500,48.893
5,2409:8c54:871::b4,349,0.0003,5.94%,0.5300,60.789
6,2409:8c38:70:150:5e::19,257,0.0002,4.37%,1.1000,49.637
7,2409:8c20:818:111::dc,240,0.0002,4.08%,0.5100,47.028
8,2409:8c1e:75b0:4007::34,123,0.0001,2.09%,0.1100,28.557
9,2409:8c04:1006:3004::5,100,0.0001,1.70%,0.1900,39.477
10,2409:804c:0:200a::1,95,0.0001,1.62%,0.3400,28.557
