timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-11-05 00:00:08.770,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","6,15,4,5,4","4,8,3,3,4","7,11,14,10,12","8,11,8,7,10","3,15,3,1,1","4,19,4,5,1","0.02,0.06,0.06,0.15,0.06","0.03,0.06,0.00,0.08,0.00","21.0,20.0,17.0,14.0,15.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","177,2927,62,17,53","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,-1.00,0.03,0.03,-1.00","3209,-99,4191,2379,-99","0.00,-1.00,0.00,0.00,-1.00","26684239,21406811,26806010,21460377,16105077","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.06,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","121,118,117,113,114","22,21,17,14,15","20,20,20,20,20","{-109,-122,-122,-256},{-100,-107,-107,-256},{-256,-105,-105,-102}","{-20.00,37.50,-20.00,-20.00},{-20.00,-12.70,-20.00,-20.00},{5.60,63.10,-20.00,-20.00}",0,{158},4
2025-11-05 00:00:09.881,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","8,4,4,4,19","6,4,5,4,6","14,12,14,14,12","10,10,9,9,12","7,2,3,3,10","7,5,2,4,12","0.17,0.00,0.08,0.11,0.28","0.00,0.10,0.00,0.07,0.02","20.0,17.0,14.0,15.0,20.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","27,66,44,47,3236","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,0.03,-1.00,0.03,0.03","3720,11306,-99,2254,2034","0.00,0.00,-1.00,0.00,0.00","16017064,21437672,16088524,26834762,21488063","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.02,0.07","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","119,117,115,114,118","21,17,14,15,22","20,20,20,20,20","{-106,-109,-109,-110},{-101,-106,-106,-256},{-102,-127,-127,-105}","{5.60,11.30,2.80,1.00},{31.20,11.80,-20.00,-20.00},{-20.00,41.10,11.40,11.80}",0,{158},4
2025-11-05 00:00:11.061,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","15,4,5,4,17","8,3,3,4,4","11,14,10,12,11","11,8,7,10,12","15,3,1,1,6","19,4,5,1,4","0.06,0.06,0.15,0.06,0.60","0.06,0.00,0.08,0.00,0.09","20.0,17.0,14.0,15.0,17.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","2927,62,17,53,519","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.03,0.03,-1.00,0.03","-99,4191,2379,-99,8994","-1.00,0.00,0.00,-1.00,0.00","21406811,26806010,21460377,16105077,26900716","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.25","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","118,117,113,114,116","21,17,14,15,20","20,20,20,20,20","{-105,-109,-109,-108},{-102,-105,-105,-256},{-110,-118,-118,-125}","{56.80,-12.10,3.80,9.50},{-20.00,12.30,-20.00,-20.00},{-20.00,64.80,-2.50,-1.50}",0,{158},4
2025-11-05 00:00:12.196,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","4,5,4,17,7","3,3,4,4,4","14,10,12,11,2","8,7,10,12,10","3,1,1,6,2","4,5,1,4,2","0.06,0.15,0.06,0.60,0.14","0.00,0.08,0.00,0.09,0.00","17.0,14.0,15.0,17.0,24.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","62,17,53,519,250","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,0.03,-1.00,0.03,-1.00","4191,2379,-99,8994,-99","0.00,0.00,-1.00,0.00,-1.00","26806010,21460377,16105077,26900716,16155081","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.25,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","117,113,114,116,123","17,14,15,20,25","20,20,20,20,20","{-104,-109,-109,-107},{-256,-105,-105,-102},{-110,-119,-119,-124}","{-20.00,62.40,0.70,-1.10},{5.60,63.10,-20.00,-20.00},{5.60,38.90,-1.80,3.10}",0,{158},4
2025-11-05 00:00:13.276,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","4,4,19,8,6","5,4,6,4,4","14,14,12,6,5","9,9,12,11,10","3,3,10,3,3","2,4,12,4,2","0.08,0.11,0.28,0.13,0.07","0.00,0.07,0.02,0.13,0.09","14.0,15.0,20.0,24.0,24.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","44,47,3236,50,90","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.03,0.03,0.03,0.03","-99,2254,2034,1384,2301","-1.00,0.00,0.00,0.00,0.00","16088524,26834762,21488063,21532585,21550880","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.02,0.07,0.09,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,114,118,124,123","14,15,22,28,25","20,20,20,20,20","{-100,-107,-107,-256},{-102,-127,-127,-105},{-110,-118,-118,-256}","{-20.00,-12.70,-20.00,-20.00},{-20.00,41.10,11.40,11.80},{31.20,-14.20,2.60,0.80}",0,{158},4
2025-11-05 00:00:14.403,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","5,4,17,7,6","3,4,4,4,5","10,12,11,2,8","7,10,12,10,8","1,1,6,2,4","5,1,4,2,5","0.15,0.06,0.60,0.14,0.05","0.08,0.00,0.09,0.00,0.06","14.0,15.0,17.0,24.0,23.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","17,53,519,250,76","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,-1.00,0.03,-1.00,0.03","2379,-99,8994,-99,4174","0.00,-1.00,0.00,-1.00,0.00","21460377,16105077,26900716,16155081,26955354","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.25,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","113,114,116,123,122","14,15,20,25,24","20,20,20,20,20","{-101,-106,-106,-256},{-110,-118,-118,-125},{-109,-119,-119,-122}","{31.20,11.80,-20.00,-20.00},{-20.00,64.80,-2.50,-1.50},{-20.00,11.90,2.60,-2.20}",0,{158},4
2025-11-05 00:00:15.555,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","4,19,8,6,6","4,6,4,4,5","14,12,6,5,11","9,12,11,10,9","3,10,3,3,4","4,12,4,2,4","0.11,0.28,0.13,0.07,0.17","0.07,0.02,0.13,0.09,0.00","15.0,20.0,24.0,24.0,22.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","47,3236,50,90,4974","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,0.03,0.03,0.03,-1.00","2254,2034,1384,2301,-99","0.00,0.00,0.00,0.00,-1.00","26834762,21488063,21532585,21550880,21576557","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.02,0.07,0.09,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","114,118,124,123,121","15,22,28,25,23","20,20,20,20,20","{-102,-105,-105,-256},{-110,-119,-119,-126},{-110,-122,-122,-121}","{-20.00,12.30,-20.00,-20.00},{56.80,37.20,-2.10,-6.60},{56.80,36.80,3.60,-0.60}",0,{158},4
2025-11-05 00:00:16.786,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","4,17,7,6,5","4,4,4,5,4","12,11,2,8,9","10,12,10,8,9","1,6,2,4,2","1,4,2,5,2","0.06,0.60,0.14,0.05,0.15","0.00,0.09,0.00,0.06,0.15","15.0,17.0,24.0,23.0,23.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","53,519,250,76,78","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.03,-1.00,0.03,0.03","-99,8994,-99,4174,3425","-1.00,0.00,-1.00,0.00,0.00","16105077,26900716,16155081,26955354,16189592","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.25,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","114,116,123,122,121","15,20,25,24,24","20,20,20,20,20","{-103,-105,-105,-256},{-110,-119,-119,-124},{-109,-122,-122,-120}","{31.20,65.60,-20.00,-20.00},{5.60,38.90,-1.80,3.10},{31.20,11.70,2.40,1.30}",0,{158},4
2025-11-05 00:00:18.249,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","17,7,6,5,4","4,4,5,4,5","11,2,8,9,10","12,10,8,9,9","6,2,4,2,3","4,2,5,2,4","0.60,0.14,0.05,0.15,0.00","0.09,0.00,0.06,0.15,0.02","17.0,24.0,23.0,23.0,22.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","519,250,76,78,41","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,-1.00,0.03,0.03,0.03","8994,-99,4174,3425,2409","0.00,-1.00,0.00,0.00,0.00","26900716,16155081,26955354,16189592,27010088","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.25,0.00,0.00,0.00,0.05","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","116,123,122,121,121","20,25,24,24,24","20,20,20,20,20","{-102,-127,-127,-105},{-109,-119,-119,-122},{-103,-119,-119,-256}","{-20.00,41.10,11.40,11.80},{-20.00,11.90,2.60,-2.20},{-20.00,10.90,-20.00,-20.00}",0,{158},4
2025-11-05 00:00:19.828,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","8,6,6,7,6","4,4,5,5,5","6,5,11,8,10","11,10,9,8,9","3,3,4,3,3","4,2,4,5,3","0.13,0.07,0.17,0.11,0.07","0.13,0.09,0.00,0.08,0.08","24.0,24.0,22.0,24.0,18.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","50,90,4974,68,116","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.03,0.03,-1.00,0.03,-1.00","1384,2301,-99,3569,-99","0.00,0.00,-1.00,0.00,-1.00","21532585,21550880,21576557,21596487,21620112","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.09,0.00,0.00,0.00,0.05","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","124,123,121,122,115","28,25,23,25,18","20,20,20,20,20","{-110,-118,-118,-125},{-110,-122,-122,-121},{-103,-256,-256,-256}","{-20.00,64.80,-2.50,-1.50},{56.80,36.80,3.60,-0.60},{5.60,13.70,11.50,0.20}",0,{158},4
