rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,40169,0.0406,99.99%,0.6500,120.446
2,120.241.129.154,37290,0.0377,92.82%,0.6500,120.446
3,36.151.54.30,1505,0.0015,3.75%,0.1200,51.473
4,183.194.237.51,371,0.0004,0.92%,0.0400,54.650
5,183.194.189.203,277,0.0003,0.69%,0.0400,115.453
6,81.69.54.177,148,0.0001,0.37%,0.1000,57.124
7,36.155.213.46,120,0.0001,0.30%,0.0300,972.485
8,120.232.27.228,120,0.0001,0.30%,0.0300,972.485
9,111.31.240.184,120,0.0001,0.30%,0.0300,972.486
10,111.10.17.149,120,0.0001,0.30%,0.0300,972.486
