rank,ip,count,rate,percent,burst_rate,burst_start
1,10.159.62.41,41416,0.0391,99.99%,1.1600,218.846
2,36.155.220.17,37796,0.0357,91.25%,1.1200,218.859
3,183.255.204.79,1449,0.0014,3.50%,0.1600,48.466
4,36.155.209.52,697,0.0007,1.68%,0.0700,52.799
5,183.194.190.204,357,0.0003,0.86%,0.0400,52.553
6,183.194.237.51,236,0.0002,0.57%,0.1400,55.872
7,120.232.27.228,182,0.0002,0.44%,0.0300,10.955
8,111.10.17.149,182,0.0002,0.44%,0.0300,10.955
9,36.155.163.65,181,0.0002,0.44%,0.0300,10.380
10,111.31.240.184,181,0.0002,0.44%,0.0300,10.955
