rank,ip,count,rate,percent,burst_rate,burst_start
1,10.19.11.109,539679,0.2312,100.00%,16.7100,232.236
2,42.187.184.109,273314,0.1171,50.64%,9.3400,1463.455
3,42.187.184.206,150555,0.0645,27.90%,4.9600,703.804
4,120.221.180.30,42698,0.0183,7.91%,7.0900,2030.218
5,120.221.180.142,34387,0.0147,6.37%,3.5200,1807.766
6,109.244.170.197,12060,0.0052,2.23%,0.7600,164.172
7,120.221.180.28,10773,0.0046,2.00%,16.3700,232.236
8,120.221.180.95,8937,0.0038,1.66%,14.0800,295.456
9,42.187.184.25,2485,0.0011,0.46%,1.4000,2254.875
10,52.231.114.183,1098,0.0005,0.20%,0.1100,1931.939
