rank,ip,count,rate,percent,burst_rate,burst_start
1,10.16.120.200,71265,0.0101,99.98%,7.5700,6336.186
2,36.155.199.156,28037,0.0040,39.33%,1.0500,6950.089
3,112.41.176.62,15311,0.0022,21.48%,7.5200,6336.186
4,112.39.20.224,9780,0.0014,13.72%,2.4300,6369.576
5,111.49.145.252,3912,0.0006,5.49%,2.8200,6977.040
6,111.58.53.229,2801,0.0004,3.93%,3.9900,6987.494
7,39.128.64.214,2238,0.0003,3.14%,1.2700,6970.926
8,124.225.128.64,1541,0.0002,2.16%,1.0000,6986.395
9,39.155.10.78,1538,0.0002,2.16%,0.9000,6323.889
10,123.139.97.57,1419,0.0002,1.99%,0.8100,6332.938
