rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,37935,0.0428,99.99%,0.5000,852.506
2,221.178.70.31,35413,0.0400,93.34%,0.5000,852.506
3,36.151.54.30,1274,0.0014,3.36%,0.1200,43.718
4,183.194.190.204,331,0.0004,0.87%,0.0400,46.768
5,183.194.237.51,214,0.0002,0.56%,0.1500,49.060
6,221.181.81.139,128,0.0001,0.34%,0.0400,107.500
7,36.155.163.65,119,0.0001,0.31%,0.0300,7.155
8,120.232.27.228,119,0.0001,0.31%,0.0300,7.165
9,111.31.240.184,119,0.0001,0.31%,0.0300,7.161
10,111.10.17.149,119,0.0001,0.31%,0.0300,7.163
