rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,24714,0.0384,99.98%,3.1200,540.914
2,221.178.66.15,22796,0.0354,92.22%,3.0300,540.914
3,39.175.114.212,859,0.0013,3.48%,0.1100,87.947
4,183.194.237.51,357,0.0006,1.44%,0.1100,93.391
5,36.155.213.46,140,0.0002,0.57%,0.0300,14.493
6,120.232.24.98,140,0.0002,0.57%,0.0300,81.285
7,111.31.240.184,140,0.0002,0.57%,0.0300,14.088
8,111.10.17.149,140,0.0002,0.57%,0.0300,81.270
9,183.194.189.203,120,0.0002,0.49%,0.0400,151.765
10,183.194.207.203,14,0.0000,0.06%,0.0700,629.577
