rank,ip,count,rate,percent,burst_rate,burst_start
1,10.74.135.199,65,0.0000,64.36%,0.1900,126610.806
2,10.27.129.202,36,0.0000,35.64%,0.1000,9.608
3,81.69.145.161,22,0.0000,21.78%,0.0400,9.180
4,42.81.196.31,22,0.0000,21.78%,0.0200,126613.009
5,223.104.121.22,18,0.0000,17.82%,0.1800,126610.891
6,36.155.240.148,14,0.0000,13.86%,0.1000,9.608
7,239.255.255.250,4,0.0000,3.96%,0.0200,126610.806
8,116.31.67.37,4,0.0000,3.96%,0.0200,126613.251
9,106.55.184.199,4,0.0000,3.96%,0.0200,126578.028
10,220.196.156.154,2,0.0000,1.98%,0.0200,126613.010
