rank,ip,count,rate,percent,burst_rate,burst_start
1,10.32.29.99,301606,0.1268,100.00%,3.0200,1716.622
2,183.215.49.25,293715,0.1235,97.38%,2.8700,1716.624
3,117.185.255.89,3581,0.0015,1.19%,0.1100,25.394
4,112.49.56.107,1196,0.0005,0.40%,0.2200,22.900
5,81.69.145.161,1169,0.0005,0.39%,0.3100,25.422
6,175.178.30.203,709,0.0003,0.24%,0.6300,19.500
7,124.223.125.213,404,0.0002,0.13%,0.4200,20.730
8,42.194.252.235,180,0.0001,0.06%,0.5900,0.930
9,124.223.125.67,146,0.0001,0.05%,0.3300,23.964
10,20.189.79.72,110,0.0000,0.04%,0.0200,0.865
