rank,ip,count,rate,percent,burst_rate,burst_start
1,10.47.59.22,33224,0.0424,99.98%,0.6600,161.581
2,36.155.199.42,30810,0.0393,92.72%,0.6500,161.581
3,120.222.225.139,1103,0.0014,3.32%,0.1400,102.514
4,183.194.190.204,270,0.0003,0.81%,0.0500,105.864
5,183.194.189.203,189,0.0002,0.57%,0.0300,332.721
6,36.155.199.152,179,0.0002,0.54%,0.0400,111.991
7,111.10.17.149,138,0.0002,0.42%,0.0600,14.349
8,111.31.240.184,137,0.0002,0.41%,0.0700,14.379
9,36.155.213.46,136,0.0002,0.41%,0.0600,14.379
10,120.232.27.228,136,0.0002,0.41%,0.0600,14.362
