rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.140.211,5773,0.0030,99.93%,0.2600,1947.569
2,39.156.70.239,3606,0.0018,62.42%,0.0200,0.362
3,211.137.191.27,1568,0.0008,27.14%,0.2000,1618.739
4,39.156.230.5,57,0.0000,0.99%,0.1300,535.192
5,120.222.255.56,51,0.0000,0.88%,0.1400,73.716
6,39.156.160.96,48,0.0000,0.83%,0.1300,1173.984
7,218.201.96.131,46,0.0000,0.80%,0.0400,346.684
8,39.156.159.148,36,0.0000,0.62%,0.1200,23.272
9,120.222.218.10,33,0.0000,0.57%,0.1800,1124.448
10,120.220.50.143,33,0.0000,0.57%,0.2600,1947.569
