rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.199.110,45715,0.0350,99.99%,2.6100,1087.879
2,36.155.209.51,41497,0.0318,90.76%,1.9500,1087.879
3,120.222.225.139,1714,0.0013,3.75%,0.3200,1087.880
4,183.194.237.51,622,0.0005,1.36%,0.2000,1087.879
5,36.155.209.52,474,0.0004,1.04%,0.0900,1087.880
6,221.181.81.139,222,0.0002,0.49%,0.0400,156.939
7,36.150.225.254,207,0.0002,0.45%,0.0200,5.983
8,36.155.213.46,120,0.0001,0.26%,0.0200,1.279
9,120.232.27.228,120,0.0001,0.26%,0.0200,1.279
10,111.31.240.184,120,0.0001,0.26%,0.0200,1.279
