rank,ip,count,rate,percent,burst_rate,burst_start
1,10.139.14.220,34960,0.0043,99.99%,0.8400,8187.444
2,36.155.199.150,32789,0.0040,93.78%,0.8400,8187.444
3,120.221.188.49,1376,0.0002,3.94%,0.1800,7335.432
4,183.194.237.51,567,0.0001,1.62%,0.1700,7345.571
5,183.194.189.203,188,0.0000,0.54%,0.0400,7395.234
6,36.155.244.171,14,0.0000,0.04%,0.1000,3.962
7,183.194.207.203,13,0.0000,0.04%,0.0700,8196.401
8,81.69.216.91,10,0.0000,0.03%,0.0500,30.265
9,127.0.0.1,8,0.0000,0.02%,0.0400,7274.418
10,36.155.187.51,2,0.0000,0.01%,0.0100,7335.154
