rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,251142,0.1639,100.00%,0.9700,52.274
2,111.22.250.35,245567,0.1603,97.78%,0.7800,982.669
3,117.185.255.89,2274,0.0015,0.91%,0.1400,52.399
4,112.49.56.107,1121,0.0007,0.45%,0.2100,47.772
5,101.35.76.132,762,0.0005,0.30%,0.3200,52.097
6,42.194.252.235,684,0.0004,0.27%,0.5400,43.105
7,124.223.125.213,189,0.0001,0.08%,0.3900,43.920
8,124.223.125.67,138,0.0001,0.05%,0.4400,50.460
9,36.158.247.12,101,0.0001,0.04%,0.0400,1496.307
10,111.42.196.35,101,0.0001,0.04%,0.0400,1502.571
