rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,65,0.0021,100.00%,0.2200,20.718
2,42.81.196.39,22,0.0007,33.85%,0.0200,22.828
3,223.104.119.116,18,0.0006,27.69%,0.1800,20.749
4,59.36.154.151,4,0.0001,6.15%,0.0200,23.069
5,239.255.255.250,4,0.0001,6.15%,0.0200,20.624
6,10.26.7.91,4,0.0001,6.15%,0.0400,20.718
7,36.150.225.132,3,0.0001,4.62%,0.0300,0.000
8,140.207.121.143,2,0.0001,3.08%,0.0200,22.829
9,120.233.43.167,2,0.0001,3.08%,0.0200,20.559
10,117.185.241.221,2,0.0001,3.08%,0.0200,20.557
