rank,ip,count,rate,percent,burst_rate,burst_start
1,10.7.55.37,74,0.0003,100.00%,0.1500,6.362
2,117.185.241.224,24,0.0001,32.43%,0.0100,8.473
3,117.185.247.220,14,0.0001,18.92%,0.0200,9.588
4,223.104.122.36,8,0.0000,10.81%,0.0800,6.364
5,223.104.122.44,6,0.0000,8.11%,0.0600,6.371
6,101.227.161.106,5,0.0000,6.76%,0.0200,9.234
7,239.255.255.250,4,0.0000,5.41%,0.0200,6.268
8,163.177.91.144,3,0.0000,4.05%,0.0100,8.472
9,203.107.6.88,2,0.0000,2.70%,0.0200,254.170
10,183.232.84.118,2,0.0000,2.70%,0.0100,6.100
