rank,ip,count,rate,percent,burst_rate,burst_start
1,10.2.120.84,1186,0.0047,100.00%,1.4200,48.804
2,223.160.117.176,949,0.0038,80.02%,1.2900,48.829
3,10.35.196.222,53,0.0002,4.47%,0.0700,48.829
4,183.232.86.165,34,0.0001,2.87%,0.0200,23.746
5,183.232.85.12,34,0.0001,2.87%,0.0200,23.755
6,117.144.247.140,34,0.0001,2.87%,0.0200,23.742
7,60.29.240.156,22,0.0001,1.85%,0.0600,173.575
8,183.232.85.192,22,0.0001,1.85%,0.0600,173.575
9,101.227.118.36,22,0.0001,1.85%,0.0600,173.575
10,239.255.255.250,4,0.0000,0.34%,0.0200,20.945
