rank,ip,count,rate,percent,burst_rate,burst_start
1,10.41.233.15,497600,0.2737,100.00%,4.1500,833.117
2,183.215.49.192,490137,0.2695,98.50%,4.1500,833.117
3,39.156.140.86,2716,0.0015,0.55%,0.1500,12.007
4,112.49.56.107,1036,0.0006,0.21%,0.1700,5.905
5,81.69.87.243,567,0.0003,0.11%,0.1700,537.844
6,175.178.30.203,553,0.0003,0.11%,0.6400,1.008
7,81.69.216.91,504,0.0003,0.10%,0.2400,852.342
8,120.53.74.170,353,0.0002,0.07%,0.2600,11.825
9,42.194.252.235,290,0.0002,0.06%,0.3800,852.261
10,106.55.117.183,253,0.0001,0.05%,0.4200,235.835
