rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,9133,0.0044,100.00%,0.3000,2020.893
2,111.48.10.188,4578,0.0022,50.13%,0.2000,1969.473
3,36.152.44.93,2054,0.0010,22.49%,0.0200,0.878
4,36.152.44.132,1796,0.0009,19.66%,0.0200,156.869
5,39.156.160.96,164,0.0001,1.80%,0.1000,1773.317
6,120.233.17.222,66,0.0000,0.72%,0.1200,2020.488
7,39.156.160.111,58,0.0000,0.64%,0.0700,880.702
8,47.103.126.192,53,0.0000,0.58%,0.0500,1293.567
9,120.233.19.99,46,0.0000,0.50%,0.1600,2052.132
10,39.156.159.149,44,0.0000,0.48%,0.1100,2017.490
