rank,ip,count,rate,percent,burst_rate,burst_start
1,10.24.143.250,49035,0.0384,99.99%,1.3600,946.369
2,36.155.220.18,44671,0.0350,91.09%,0.9800,181.247
3,120.222.225.148,1955,0.0015,3.99%,0.1700,29.936
4,36.155.220.17,992,0.0008,2.02%,0.3500,946.370
5,183.194.237.51,522,0.0004,1.06%,0.1500,34.989
6,221.181.81.139,232,0.0002,0.47%,0.0400,181.402
7,36.155.213.46,160,0.0001,0.33%,0.0200,1.077
8,120.232.27.228,160,0.0001,0.33%,0.0200,1.077
9,111.30.183.207,160,0.0001,0.33%,0.0200,1.077
10,111.10.17.149,160,0.0001,0.33%,0.0200,1.077
