rank,ip,count,rate,percent,burst_rate,burst_start
1,10.138.192.147,353100,0.1530,100.00%,0.8000,176.756
2,111.22.250.58,343766,0.1490,97.36%,0.4600,526.765
3,117.185.255.124,3150,0.0014,0.89%,0.0600,177.236
4,120.226.166.146,1888,0.0008,0.53%,0.2200,139.744
5,42.194.252.235,1272,0.0006,0.36%,0.4900,62.278
6,81.69.145.161,1175,0.0005,0.33%,0.2700,61.951
7,124.223.125.213,488,0.0002,0.14%,0.3800,25.183
8,183.215.49.92,382,0.0002,0.11%,0.1200,67.007
9,117.185.255.89,218,0.0001,0.06%,0.1000,61.897
10,36.155.229.53,101,0.0000,0.03%,0.0300,2217.521
